Time PerformanceValue
1.0 736223606.272
2.0 734764074.24
3.0 734334411.776
4.0 728071022.336
5.0 735038045.952
6.0 736588901.888
7.0 736848569.8560001
8.0 723412402.944
9.0 718655857.92
10.0 703933454.336
15.0 720516444.928
20.0 712334703.36
25.0 710313474.304
30.0 706615406.336
35.0 723700678.4
40.0 729315448.064
45.0 724957757.44
50.0 719317681.152
60.0 722429295.616
70.0 724847178.496
80.0 738898956.544
90.0 732415509.504
100.0 737726049.536
200.0 725096393.728
300.0 734576475.136
400.0 738874750.2080001
500.0 738528159.488
