Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_cputime_1min 0 Modular 59.025s 122754304 34.6503 1 0
eventManager_cputime_1min 1 Modular 59.973s 126085632 35.0403433333 2 0
eventManager_cputime_1min 2 Modular 59.974s 125769216 34.9518933333 3 0
eventManager_cputime_1min 3 Modular 59.970s 125674752 34.9279566667 4 0
eventManager_cputime_1min 4 Modular 59.974s 119288832 33.15095 5 0
eventManager_cputime_1min 5 Modular 59.974s 125308672 34.8233066667 6 0
eventManager_cputime_1min 6 Modular 59.974s 120859648 33.58746 7 0
eventManager_cputime_1min 7 Modular 59.968s 125119232 34.7747466667 8 0
eventManager_cputime_1min 8 Modular 59.974s 124645632 34.6396333333 9 0
eventManager_cputime_1min 9 Modular 59.968s 125526272 34.88787 10 0
eventManager_cputime_1min 10 Modular 59.973s 126180096 35.0666266667 15 0
eventManager_cputime_1min 11 Modular 59.974s 124471296 34.5911933333 20 0
eventManager_cputime_1min 12 Modular 59.973s 125523456 34.8835833333 25 0
eventManager_cputime_1min 13 Modular 59.974s 124509184 34.6016966667 30 0
eventManager_cputime_1min 14 Modular 59.974s 122847232 34.1398666667 35 0
eventManager_cputime_1min 15 Modular 59.973s 118344960 32.8886833333 40 0
eventManager_cputime_1min 16 Modular 59.974s 126170112 35.06323 45 0
eventManager_cputime_1min 17 Modular 59.974s 126348288 35.1127233333 50 0
eventManager_cputime_1min 18 Modular 59.970s 126019840 35.0232966667 60 0
eventManager_cputime_1min 19 Modular 59.974s 126032384 35.0249466667 70 0
eventManager_cputime_1min 20 Modular 59.974s 126537984 35.16547 80 0
eventManager_cputime_1min 21 Modular 59.974s 126055680 35.0314433333 90 0
eventManager_cputime_1min 22 Modular 59.974s 124566272 34.61758 100 0
eventManager_cputime_1min 23 Modular 59.962s 125814016 34.97044 200 0
eventManager_cputime_1min 24 Modular 59.974s 125485568 34.8730566667 300 0
eventManager_cputime_1min 25 Modular 59.974s 125581568 34.8997566667 400 0
eventManager_cputime_1min 26 Modular 59.974s 125121792 34.7719533333 500 0
eventManager_cputime_1min 0 Monolithic 59.968s 342588928 190.429966667 1 0
eventManager_cputime_1min 1 Monolithic 59.643s 341909760 191.077066667 2 0
eventManager_cputime_1min 2 Monolithic 59.651s 341709824 190.9461 3 0
eventManager_cputime_1min 3 Monolithic 59.658s 338795264 189.297466667 4 0
eventManager_cputime_1min 4 Monolithic 59.645s 342037248 191.1545 5 0
eventManager_cputime_1min 5 Monolithic 59.650s 342758912 191.528566667 6 0
eventManager_cputime_1min 6 Monolithic 59.651s 342879744 191.589766667 7 0
eventManager_cputime_1min 7 Monolithic 59.656s 336627456 188.091033333 8 0
eventManager_cputime_1min 8 Monolithic 59.651s 334414080 186.8722 9 0
eventManager_cputime_1min 9 Monolithic 59.651s 327563264 183.050633333 10 0
eventManager_cputime_1min 10 Monolithic 59.658s 335279872 187.333533333 15 0
eventManager_cputime_1min 11 Monolithic 59.663s 331472640 185.1892 20 0
eventManager_cputime_1min 12 Monolithic 59.664s 330532096 184.665333333 25 0
eventManager_cputime_1min 13 Monolithic 59.662s 328811264 183.706366667 30 0
eventManager_cputime_1min 14 Monolithic 59.669s 336761600 188.104 35 0
eventManager_cputime_1min 15 Monolithic 59.654s 339374336 189.6235 40 0
eventManager_cputime_1min 16 Monolithic 59.657s 337346560 188.485433333 45 0
eventManager_cputime_1min 17 Monolithic 59.665s 334722048 186.998233333 50 0
eventManager_cputime_1min 18 Monolithic 59.664s 336169984 187.802 60 0
eventManager_cputime_1min 19 Monolithic 59.664s 337295104 188.433866667 70 0
eventManager_cputime_1min 20 Monolithic 59.657s 343833856 192.115333333 80 0
eventManager_cputime_1min 21 Monolithic 59.654s 340816896 190.448733333 90 0
eventManager_cputime_1min 22 Monolithic 59.645s 343288064 191.843133333 100 0
eventManager_cputime_1min 23 Monolithic 59.645s 337411072 188.572233333 200 0
eventManager_cputime_1min 24 Monolithic 59.651s 341822464 191.0165 300 0
eventManager_cputime_1min 25 Monolithic 59.646s 343822592 192.141033333 400 0
eventManager_cputime_1min 26 Monolithic 59.654s 343661312 192.018933333 500 0
