Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_cputime_1min 0 Modular 59.633s 83189504 0.4604187 1000 0
polling_cputime_1min 1 Modular 59.964s 83373824 0.504293633333 1100 0
polling_cputime_1min 2 Modular 59.973s 84180736 0.5548181 1200 0
polling_cputime_1min 3 Modular 59.974s 83813632 0.5978415 1300 0
polling_cputime_1min 4 Modular 59.974s 84672768 0.649787366667 1400 0
polling_cputime_1min 5 Modular 59.974s 83902464 0.6891873 1500 0
polling_cputime_1min 6 Modular 59.974s 84302336 0.692471933333 1500 0
polling_cputime_1min 7 Modular 59.974s 83212032 0.9068875 2000 0
polling_cputime_1min 8 Modular 59.974s 81735424 1.10806133333 2500 0
polling_cputime_1min 9 Modular 59.974s 84888832 1.37426833333 3000 0
polling_cputime_1min 10 Modular 59.974s 85670656 1.61023766667 3500 0
polling_cputime_1min 11 Modular 59.963s 84783104 1.812814 4000 0
polling_cputime_1min 12 Modular 59.974s 86044160 2.05943266667 4500 0
polling_cputime_1min 13 Modular 59.974s 83318016 2.205207 5000 0
polling_cputime_1min 0 Monolithic 59.968s 487178752 7.96482033333 1000 0
polling_cputime_1min 1 Monolithic 59.957s 482760192 8.66629266667 1100 0
polling_cputime_1min 2 Monolithic 59.950s 462204672 9.03510766667 1200 0
polling_cputime_1min 3 Monolithic 59.950s 462503680 9.775112 1300 0
polling_cputime_1min 4 Monolithic 59.951s 461950720 10.4938333333 1400 0
polling_cputime_1min 5 Monolithic 59.951s 479629568 11.65121 1500 0
polling_cputime_1min 6 Monolithic 59.948s 478239488 11.6180066667 1500 0
polling_cputime_1min 7 Monolithic 59.948s 472098816 15.14475 2000 0
polling_cputime_1min 8 Monolithic 59.951s 470391040 18.6815533333 2500 0
polling_cputime_1min 9 Monolithic 59.935s 448315648 21.1702133333 3000 0
polling_cputime_1min 10 Monolithic 59.927s 464074752 25.3307933333 3500 0
polling_cputime_1min 11 Monolithic 59.930s 443165952 27.38829 4000 0
polling_cputime_1min 12 Monolithic 59.922s 458925056 31.6184433333 4500 0
polling_cputime_1min 13 Monolithic 59.909s 455332608 34.5477266667 5000 0
