Time Difference Ratio
1.0 1.399 5.385579937304075
2.0 1.404 5.306748466257669
3.0 1.4020000000000001 5.394984326018809
4.0 1.398 5.424050632911392
5.0 1.401 5.378125
6.0 1.412 5.5256410256410255
7.0 1.402 5.408805031446541
8.0 1.3940000000000001 5.425396825396826
9.0 1.453 5.583596214511041
10.0 1.3940000000000001 5.3974763406940065
15.0 1.4020000000000001 5.422712933753943
400.0 1.418 5.515923566878981
20.0 1.431 5.485893416927899
25.0 1.411 5.465189873417722
30.0 1.402 5.38125
35.0 1.3940000000000001 5.342679127725857
40.0 1.415 5.435736677115988
300.0 1.407 5.509615384615385
45.0 1.385 5.196969696969697
50.0 1.4000000000000001 5.416403785488959
60.0 1.4649999999999999 5.578125
70.0 1.4000000000000001 5.38871473354232
200.0 1.408 5.455696202531645
80.0 1.399 5.4696485623003195
90.0 1.41 5.519230769230769
100.0 1.422 5.44375
500.0 1.453 5.583596214511041
