Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
generation_simtime_1min 0 Modular 37.354s 181800021 1.60645736842 1000 0
generation_simtime_1min 1 Modular 33.511s 165436386 1.79058823529 1100 0
generation_simtime_1min 2 Modular 30.598s 151800021 1.961295625 1200 0
generation_simtime_1min 3 Modular 29.637s 140261562 2.024612 1300 0
generation_simtime_1min 4 Modular 27.105s 130371450 2.21352071429 1400 0
generation_simtime_1min 5 Modular 25.423s 121800021 2.36014538462 1500 0
generation_simtime_1min 6 Modular 25.473s 121800021 2.35568076923 1500 0
generation_simtime_1min 7 Modular 19.641s 91800021 3.055107 2000 0
generation_simtime_1min 8 Modular 15.999s 73800021 3.75023375 2500 0
generation_simtime_1min 9 Modular 13.330s 61800021 4.50183142857 3000 0
generation_simtime_1min 10 Modular 12.031s 53228595 5.00341571429 3500 0
generation_simtime_1min 11 Modular 10.067s 46800021 5.97180833333 4000 0
generation_simtime_1min 12 Modular 9.834s 41800023 6.100592 4500 0
generation_simtime_1min 13 Modular 8.778s 37800021 6.836512 5000 0
generation_simtime_1min 0 Monolithic 22.941s 120600008 2.616285 1000 0
generation_simtime_1min 1 Monolithic 20.954s 109690918 2.86345090909 1100 0
generation_simtime_1min 2 Monolithic 19.168s 100600008 3.130627 1200 0
generation_simtime_1min 3 Monolithic 18.102s 92907702 3.312974 1300 0
generation_simtime_1min 4 Monolithic 16.501s 86314294 3.63502666667 1400 0
generation_simtime_1min 5 Monolithic 15.790s 80600008 3.8002475 1500 0
generation_simtime_1min 6 Monolithic 15.244s 80600008 3.936515 1500 0
generation_simtime_1min 7 Monolithic 11.351s 60600008 5.28786833333 2000 0
generation_simtime_1min 8 Monolithic 9.176s 48600008 6.53878 2500 0
generation_simtime_1min 9 Monolithic 7.691s 40600008 7.8018025 3000 0
generation_simtime_1min 10 Monolithic 6.655s 34885724 9.0101425 3500 0
generation_simtime_1min 11 Monolithic 5.789s 30600008 10.3648 4000 0
generation_simtime_1min 12 Monolithic 5.220s 27266676 11.4941 4500 0
generation_simtime_1min 13 Monolithic 5.140s 24600008 11.6793666667 5000 0
