Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
generation_cputime_1min 0 Modular 59.883s 291190272 1.60484666667 1000 0
generation_cputime_1min 1 Modular 59.696s 289063168 1.75615866667 1100 0
generation_cputime_1min 2 Modular 59.699s 291441920 1.92957666667 1200 0
generation_cputime_1min 3 Modular 59.699s 281654016 2.018179 1300 0
generation_cputime_1min 4 Modular 59.709s 287522560 2.216134 1400 0
generation_cputime_1min 5 Modular 59.711s 284665088 2.34846633333 1500 0
generation_cputime_1min 6 Modular 59.710s 289749760 2.39047166667 1500 0
generation_cputime_1min 7 Modular 59.705s 276192512 3.02347033333 2000 0
generation_cputime_1min 8 Modular 59.725s 274574080 3.73757633333 2500 0
generation_cputime_1min 9 Modular 59.717s 278069760 4.52077133333 3000 0
generation_cputime_1min 10 Modular 59.720s 268746496 5.07255633333 3500 0
generation_cputime_1min 11 Modular 59.734s 270033408 5.795632 4000 0
generation_cputime_1min 12 Modular 59.735s 261653760 6.287476 4500 0
generation_cputime_1min 13 Modular 59.747s 259308800 6.889067 5000 0
generation_cputime_1min 0 Monolithic 59.755s 319944448 2.66388733333 1000 0
generation_cputime_1min 1 Monolithic 59.544s 318457856 2.92548133333 1100 0
generation_cputime_1min 2 Monolithic 59.544s 297565440 2.980733 1200 0
generation_cputime_1min 3 Monolithic 59.574s 316209408 3.42780433333 1300 0
generation_cputime_1min 4 Monolithic 59.546s 316926720 3.69962 1400 0
generation_cputime_1min 5 Monolithic 59.537s 318349056 3.980475 1500 0
generation_cputime_1min 6 Monolithic 59.546s 315415808 3.94315066667 1500 0
generation_cputime_1min 7 Monolithic 59.543s 318661120 5.29875433333 2000 0
generation_cputime_1min 8 Monolithic 59.546s 318161664 6.59611966667 2500 0
generation_cputime_1min 9 Monolithic 59.540s 314523136 7.806536 3000 0
generation_cputime_1min 10 Monolithic 59.543s 317536512 9.17237066667 3500 0
generation_cputime_1min 11 Monolithic 59.542s 315964416 10.40596 4000 0
generation_cputime_1min 12 Monolithic 59.543s 316440064 11.69413 4500 0
generation_cputime_1min 13 Monolithic 59.543s 319634432 13.09197 5000 0
