Loading NED files from /home/profeltf/thesis/src/simulations/DesignTest/src: 12

Preparing for running configuration Modular, run #2...
Scenario: $generationInterval=700, $repetition=0
Assigned runID=Modular-2-20160418-15:47:53-7040
Setting up network `designtest.DataGeneration'...
Initializing...

Running simulation...
** Event #1   T=0   Elapsed: 0.000s (0m 00s)  0% completed
     Speed:     ev/sec=0   simsec/sec=0   ev/simsec=0
     Messages:  created: 2   present: 2   in FES: 2
** Event #8631808   T=2.0000869   Elapsed: 2.000s (0m 02s)  4% completed
     Speed:     ev/sec=4.3159e+06   simsec/sec=1.00004   ev/simsec=4.31572e+06
     Messages:  created: 8611808   present: 3   in FES: 3
** Event #17263360   T=4.0001157   Elapsed: 4.000s (0m 04s)  8% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31571e+06
     Messages:  created: 17223360   present: 3   in FES: 3
** Event #25895168   T=6.000204   Elapsed: 6.000s (0m 06s)  12% completed
     Speed:     ev/sec=4.3159e+06   simsec/sec=1.00004   ev/simsec=4.31571e+06
     Messages:  created: 25835166   present: 2   in FES: 2
** Event #34526720   T=8.0002321   Elapsed: 8.000s (0m 08s)  16% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31572e+06
     Messages:  created: 34446717   present: 2   in FES: 2
** Event #43158272   T=10.0002609   Elapsed: 10.000s (0m 10s)  20% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31571e+06
     Messages:  created: 43058269   present: 2   in FES: 2
** Event #51789824   T=12.000289   Elapsed: 12.000s (0m 12s)  24% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31572e+06
     Messages:  created: 51669820   present: 2   in FES: 2
** Event #60421376   T=14.0003178   Elapsed: 14.000s (0m 14s)  28% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31571e+06
     Messages:  created: 60281372   present: 2   in FES: 2
** Event #69052928   T=16.0003459   Elapsed: 16.000s (0m 16s)  32% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31572e+06
     Messages:  created: 68892923   present: 2   in FES: 2
** Event #77684480   T=18.0003747   Elapsed: 18.000s (0m 18s)  36% completed
     Speed:     ev/sec=4.31578e+06   simsec/sec=1.00001   ev/simsec=4.31571e+06
     Messages:  created: 77504475   present: 2   in FES: 2
** Event #86315776   T=20.0003433   Elapsed: 20.000s (0m 20s)  40% completed
     Speed:     ev/sec=4.31565e+06   simsec/sec=0.999984   ev/simsec=4.31572e+06
     Messages:  created: 86115772   present: 3   in FES: 3
