Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_simtime_1min 0 Modular 1.718s 3600042 34.9244 1 0
eventManager_simtime_1min 1 Modular 1.730s 3600042 34.6821 2 0
eventManager_simtime_1min 2 Modular 1.721s 3600042 34.8635 3 0
eventManager_simtime_1min 3 Modular 1.714s 3600042 35.0059 4 0
eventManager_simtime_1min 4 Modular 1.721s 3600042 34.8635 5 0
eventManager_simtime_1min 5 Modular 1.724s 3600042 34.8028 6 0
eventManager_simtime_1min 6 Modular 1.720s 3600042 34.8838 7 0
eventManager_simtime_1min 7 Modular 1.709s 3600042 35.1083 8 0
eventManager_simtime_1min 8 Modular 1.770s 3600042 33.8984 9 0
eventManager_simtime_1min 9 Modular 1.711s 3600042 35.0673 10 0
eventManager_simtime_1min 10 Modular 1.719s 3600042 34.9041 15 0
eventManager_simtime_1min 11 Modular 1.750s 3600042 34.2858 20 0
eventManager_simtime_1min 12 Modular 1.727s 3600042 34.7424 25 0
eventManager_simtime_1min 13 Modular 1.722s 3600042 34.8433 30 0
eventManager_simtime_1min 14 Modular 1.715s 3600042 34.9855 35 0
eventManager_simtime_1min 15 Modular 1.734s 3600042 34.6021 40 0
eventManager_simtime_1min 16 Modular 1.715s 3600042 34.9855 45 0
eventManager_simtime_1min 17 Modular 1.717s 3600042 34.9447 50 0
eventManager_simtime_1min 18 Modular 1.785s 3600042 33.6135 60 0
eventManager_simtime_1min 19 Modular 1.719s 3600042 34.9041 70 0
eventManager_simtime_1min 20 Modular 1.712s 3600042 35.0468 80 0
eventManager_simtime_1min 21 Modular 1.722s 3600042 34.8433 90 0
eventManager_simtime_1min 22 Modular 1.742s 3600042 34.4432 100 0
eventManager_simtime_1min 23 Modular 1.724s 3600042 34.8028 200 0
eventManager_simtime_1min 24 Modular 1.719s 3600042 34.9041 300 0
eventManager_simtime_1min 25 Modular 1.732s 3600042 34.6421 400 0
eventManager_simtime_1min 26 Modular 1.770s 3600042 33.8984 500 0
eventManager_simtime_1min 0 Monolithic 0.319s 1800022 188.088 1 0
eventManager_simtime_1min 1 Monolithic 0.326s 1800022 184.049 2 0
eventManager_simtime_1min 2 Monolithic 0.319s 1800022 188.088 3 0
eventManager_simtime_1min 3 Monolithic 0.316s 1800022 189.874 4 0
eventManager_simtime_1min 4 Monolithic 0.320s 1800022 187.5 5 0
eventManager_simtime_1min 5 Monolithic 0.312s 1800022 192.308 6 0
eventManager_simtime_1min 6 Monolithic 0.318s 1800022 188.68 7 0
eventManager_simtime_1min 7 Monolithic 0.315s 1800022 190.477 8 0
eventManager_simtime_1min 8 Monolithic 0.317s 1800022 189.275 9 0
eventManager_simtime_1min 9 Monolithic 0.317s 1800022 189.275 10 0
eventManager_simtime_1min 10 Monolithic 0.317s 1800022 189.275 15 0
eventManager_simtime_1min 11 Monolithic 0.319s 1800022 188.088 20 0
eventManager_simtime_1min 12 Monolithic 0.316s 1800022 189.874 25 0
eventManager_simtime_1min 13 Monolithic 0.320s 1800022 187.5 30 0
eventManager_simtime_1min 14 Monolithic 0.321s 1800022 186.916 35 0
eventManager_simtime_1min 15 Monolithic 0.319s 1800022 188.088 40 0
eventManager_simtime_1min 16 Monolithic 0.330s 1800022 181.818 45 0
eventManager_simtime_1min 17 Monolithic 0.317s 1800022 189.275 50 0
eventManager_simtime_1min 18 Monolithic 0.320s 1800022 187.5 60 0
eventManager_simtime_1min 19 Monolithic 0.319s 1800022 188.088 70 0
eventManager_simtime_1min 20 Monolithic 0.313s 1800022 191.694 80 0
eventManager_simtime_1min 21 Monolithic 0.312s 1800022 192.308 90 0
eventManager_simtime_1min 22 Monolithic 0.320s 1800022 187.5 100 0
eventManager_simtime_1min 23 Monolithic 0.316s 1800022 189.874 200 0
eventManager_simtime_1min 24 Monolithic 0.312s 1800022 192.308 300 0
eventManager_simtime_1min 25 Monolithic 0.314s 1800022 191.083 400 0
eventManager_simtime_1min 26 Monolithic 0.317s 1800022 189.275 500 0
