Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_simtime_1min 0 Modular 129.668s 181800021 0.462741476923 1000 0
polling_simtime_1min 1 Modular 117.470s 165436386 0.510796423729 1100 0
polling_simtime_1min 2 Modular 109.156s 151800021 0.549689727273 1200 0
polling_simtime_1min 3 Modular 99.941s 140261562 0.60037834 1300 0
polling_simtime_1min 4 Modular 92.839s 130371450 0.646310276596 1400 0
polling_simtime_1min 5 Modular 86.951s 121800021 0.690080659091 1500 0
polling_simtime_1min 6 Modular 86.165s 121800021 0.696424090909 1500 0
polling_simtime_1min 7 Modular 66.295s 91800021 0.905153588235 2000 0
polling_simtime_1min 8 Modular 51.906s 73800021 1.15598192308 2500 0
polling_simtime_1min 9 Modular 44.892s 61800021 1.33664826087 3000 0
polling_simtime_1min 10 Modular 37.311s 53228595 1.60821631579 3500 0
polling_simtime_1min 11 Modular 32.953s 46800021 1.82084058824 4000 0
polling_simtime_1min 12 Modular 29.208s 41800023 2.05427466667 4500 0
polling_simtime_1min 13 Modular 26.649s 37800021 2.25165857143 5000 0
polling_simtime_1min 0 Monolithic 7.498s 61200015 8.0023875 1000 0
polling_simtime_1min 1 Monolithic 6.908s 55745470 8.67935 1100 0
polling_simtime_1min 2 Monolithic 6.592s 51200015 9.10675 1200 0
polling_simtime_1min 3 Monolithic 6.107s 47353862 9.8363225 1300 0
polling_simtime_1min 4 Monolithic 5.717s 44057158 10.495 1400 0
polling_simtime_1min 5 Monolithic 5.141s 41200015 11.6712 1500 0
polling_simtime_1min 6 Monolithic 5.124s 41200015 11.7103333333 1500 0
polling_simtime_1min 7 Monolithic 3.894s 31200015 15.40835 2000 0
polling_simtime_1min 8 Monolithic 3.195s 25200015 18.78095 2500 0
polling_simtime_1min 9 Monolithic 2.822s 21200015 21.2612 3000 0
polling_simtime_1min 10 Monolithic 2.422s 18342873 24.7647 3500 0
polling_simtime_1min 11 Monolithic 2.202s 16200015 27.31165 4000 0
polling_simtime_1min 12 Monolithic 1.916s 14533349 31.3152 4500 0
polling_simtime_1min 13 Monolithic 1.726s 13200015 34.7625 5000 0
