Time PerformanceValue
1.0 611754076.416
2.0 608432306.944
3.0 610951966.464
4.0 612931384.576
5.0 595838960.64
6.0 608273865.472
7.0 613572852.48
8.0 614797473.024
9.0 607868409.344
10.0 613607511.552
15.0 609963907.84
20.0 610338555.904
25.0 608235905.536
30.0 611403634.688
35.0 590985040.128
40.0 607929475.328
45.0 609252571.648
50.0 606071639.04
60.0 613451270.656
70.0 611176425.216
80.0 612788347.136
90.0 611944426.24
100.0 607173577.472
200.0 607921223.168
300.0 614119695.616
400.0 600020605.184
500.0 606040280.832
