Time PerformanceValue
100.0 241148160.0
200.0 242336768.0
300.0 242275328.0
400.0 234512640.0
500.0 233911808.0
600.0 238019072.0
700.0 235934208.0
800.0 237075712.0
900.0 239521280.0
1000.0 221100544.0
1100.0 235791616.0
1200.0 237200384.0
1300.0 238844672.0
1400.0 237436928.0
1500.0 239129344.0
1500.0 238278144.0
2000.0 240053248.0
2500.0 236369152.0
3000.0 230663680.0
3500.0 236568064.0
4000.0 233377280.0
4500.0 235707648.0
5000.0 222907392.0
5500.0 231912960.0
6000.0 228395008.0
6500.0 218932736.0
7000.0 197958656.0
7500.0 227393536.0
8000.0 226477056.0
8500.0 224153344.0
9000.0 224453632.0
9500.0 222891008.0
10000.0 226226944.0
15000.0 221175296.0
20000.0 207067648.0
25000.0 206671616.0
30000.0 201465088.0
