Time PerformanceValue
100.0 540978050.816
200.0 533863588.608
300.0 529706700.544
400.0 537301988.608
500.0 515731392.512
600.0 546427227.136
700.0 542233479.424
800.0 541232767.488
900.0 540329981.184
1000.0 528992613.632
1100.0 561355384.576
1200.0 555527159.04
1300.0 545720292.096
1400.0 560472953.6
1500.0 561831259.136
1500.0 522376581.888
2000.0 559898053.12
2500.0 564394930.176
3000.0 564738220.0320001
3500.0 564611686.9120001
4000.0 550899347.712
4500.0 562073322.496
5000.0 551151863.808
5500.0 575840676.096
6000.0 565899023.872
6500.0 564852099.84
7000.0 564437841.408
7500.0 561645310.464
8000.0 568031382.016
8500.0 564014230.528
9000.0 581891159.808
9500.0 566210405.376
10000.0 544908279.552
15000.0 550916402.176
20000.0 569068953.6
25000.0 555125003.776
30000.0 543567578.624
