Time PerformanceValue
100.0 132997632.0
200.0 137222656.0
300.0 140427264.0
400.0 141554176.0
500.0 141808640.0
600.0 138316288.0
700.0 142454016.0
800.0 139346688.0
900.0 136162816.0
1000.0 143545088.0
1100.0 141727232.0
1200.0 144669952.0
1300.0 145055488.0
1400.0 144739328.0
1500.0 140341504.0
1500.0 144694528.0
2000.0 144436224.0
2500.0 145548800.0
3000.0 145351424.0
3500.0 145078784.0
4000.0 144391680.0
4500.0 144660992.0
5000.0 144469504.0
5500.0 145042432.0
6000.0 146449920.0
6500.0 144993792.0
7000.0 145192448.0
7500.0 146830336.0
8000.0 142611456.0
8500.0 145570816.0
9000.0 145487872.0
9500.0 144406784.0
10000.0 139069696.0
15000.0 147705344.0
20000.0 150630144.0
25000.0 142571264.0
30000.0 150614016.0
