Time PerformanceValue
100.0 904659544.32
200.0 905006135.04
300.0 903992769.792
400.0 906448612.608
500.0 907693038.336
600.0 890512041.216
700.0 770674173.696
800.0 900678702.336
900.0 896500908.8
1000.0 893976297.984
1100.0 895276288.256
1200.0 898448968.704
1300.0 887341561.344
1400.0 898109529.8560001
1500.0 890371204.352
1500.0 873871835.648
2000.0 855899181.312
2500.0 877174350.08
3000.0 732833618.944
3500.0 867623300.096
4000.0 860963806.976
4500.0 855261564.416
5000.0 860770156.288
5500.0 839064774.9120001
6000.0 849176971.776
6500.0 842571942.9120001
7000.0 774870672.128
7500.0 836465894.656
8000.0 821869474.048
8500.0 827052930.816
9000.0 818740254.976
9500.0 813850024.96
10000.0 813895686.9120001
15000.0 751179821.056
20000.0 755749867.264
25000.0 736942094.336
30000.0 727934586.624
