Time PerformanceValue
200.0 901.9549999999999
300.0 601.44
400.0 500.649
500.0 365.12199999999996
600.0 303.943
700.0 259.64300000000003
800.0 228.601
900.0 205.447
1000.0 185.239
1100.0 175.727
1200.0 154.88299999999998
1300.0 143.005
1400.0 132.787
1500.0 125.03800000000001
1500.0 125.547
2000.0 96.244
2500.0 78.625
3000.0 66.059
3500.0 56.692
4000.0 50.908
4500.0 45.704
5000.0 41.699
5500.0 38.274
6000.0 35.986000000000004
6500.0 33.683
7000.0 31.641
7500.0 29.965
8000.0 28.68
8500.0 26.807000000000002
9000.0 25.333
9500.0 25.22
10000.0 24.272
15000.0 18.146
20000.0 15.133
25000.0 12.551
30000.0 11.318999999999999
