Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_cputime_1min 0 Modular 59.632s 166619904 46.5555766667 1 0
eventManager_cputime_1min 1 Modular 59.969s 166610944 46.3052833333 2 0
eventManager_cputime_1min 2 Modular 59.969s 167086592 46.4387533333 3 0
eventManager_cputime_1min 3 Modular 59.970s 167739904 46.6188433333 4 0
eventManager_cputime_1min 4 Modular 59.969s 167670272 46.59951 5 0
eventManager_cputime_1min 5 Modular 59.970s 167345152 46.5085766667 6 0
eventManager_cputime_1min 6 Modular 59.969s 167313664 46.5005333333 7 0
eventManager_cputime_1min 7 Modular 59.969s 161974272 45.01704 8 0
eventManager_cputime_1min 8 Modular 59.970s 168550656 46.8432366667 9 0
eventManager_cputime_1min 9 Modular 59.971s 165875456 46.0998733333 10 0
eventManager_cputime_1min 10 Modular 59.970s 168151552 46.7325633333 15 0
eventManager_cputime_1min 11 Modular 59.969s 167300608 46.4967866667 20 0
eventManager_cputime_1min 12 Modular 59.970s 167730688 46.6157833333 25 0
eventManager_cputime_1min 13 Modular 59.970s 153220352 42.5825066667 30 0
eventManager_cputime_1min 14 Modular 59.970s 166541824 46.28566 35 0
eventManager_cputime_1min 15 Modular 59.971s 168312064 46.77708 40 0
eventManager_cputime_1min 16 Modular 59.969s 167109888 46.44392 45 0
eventManager_cputime_1min 17 Modular 59.969s 168392192 46.8002266667 50 0
eventManager_cputime_1min 18 Modular 59.970s 166728192 46.33776 60 0
eventManager_cputime_1min 19 Modular 59.971s 168030720 46.6987833333 70 0
eventManager_cputime_1min 20 Modular 59.969s 167470592 46.5442933333 80 0
eventManager_cputime_1min 21 Modular 59.969s 159571968 44.34883 90 0
eventManager_cputime_1min 22 Modular 59.969s 168568576 46.8492666667 100 0
eventManager_cputime_1min 23 Modular 59.966s 160990720 44.7453933333 200 0
eventManager_cputime_1min 24 Modular 59.969s 168550144 46.8441866667 300 0
eventManager_cputime_1min 25 Modular 59.969s 168403712 46.8034233333 400 0
eventManager_cputime_1min 26 Modular 59.969s 167694848 46.60656 500 0
eventManager_cputime_1min 0 Monolithic 59.960s 284669184 158.254466667 1 0
eventManager_cputime_1min 1 Monolithic 59.720s 283123456 158.037366667 2 0
eventManager_cputime_1min 2 Monolithic 59.711s 284295936 158.716366667 3 0
eventManager_cputime_1min 3 Monolithic 59.720s 285217024 159.1976 4 0
eventManager_cputime_1min 4 Monolithic 59.710s 277263360 154.792766667 5 0
eventManager_cputime_1min 5 Monolithic 59.727s 283049728 157.971466667 6 0
eventManager_cputime_1min 6 Monolithic 59.721s 285515520 159.362266667 7 0
eventManager_cputime_1min 7 Monolithic 59.719s 286085376 159.686366667 8 0
eventManager_cputime_1min 8 Monolithic 59.717s 282861056 157.8972 9 0
eventManager_cputime_1min 9 Monolithic 59.711s 285531648 159.397866667 10 0
eventManager_cputime_1min 10 Monolithic 59.708s 283836160 158.440333333 15 0
eventManager_cputime_1min 11 Monolithic 59.710s 284010496 158.551933333 20 0
eventManager_cputime_1min 12 Monolithic 59.720s 283032064 157.985566667 25 0
eventManager_cputime_1min 13 Monolithic 59.721s 284506112 158.802966667 30 0
eventManager_cputime_1min 14 Monolithic 59.710s 275004672 153.510206897 35 0
eventManager_cputime_1min 15 Monolithic 59.728s 282889472 157.874833333 40 0
eventManager_cputime_1min 16 Monolithic 59.722s 283505152 158.2388 45 0
eventManager_cputime_1min 17 Monolithic 59.712s 282024960 157.450166667 50 0
eventManager_cputime_1min 18 Monolithic 59.677s 285458944 159.4539 60 0
eventManager_cputime_1min 19 Monolithic 59.710s 284400384 158.7748 70 0
eventManager_cputime_1min 20 Monolithic 59.720s 285150464 159.164066667 80 0
eventManager_cputime_1min 21 Monolithic 59.721s 284757760 158.9239 90 0
eventManager_cputime_1min 22 Monolithic 59.676s 282537728 157.799833333 100 0
eventManager_cputime_1min 23 Monolithic 59.712s 282885632 157.923033333 200 0
eventManager_cputime_1min 24 Monolithic 59.721s 285769984 159.4858 300 0
eventManager_cputime_1min 25 Monolithic 59.719s 279209216 155.8569 400 0
eventManager_cputime_1min 26 Monolithic 59.725s 282010368 157.383466667 500 0
