Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
generation_cputime_1min 0 Modular 59.785s 241148160 0.134320566667 100 0
generation_cputime_1min 1 Modular 59.749s 242336768 0.269860133333 200 0
generation_cputime_1min 2 Modular 59.757s 242275328 0.404222333333 300 0
generation_cputime_1min 3 Modular 59.737s 234512640 0.521343233333 400 0
generation_cputime_1min 4 Modular 59.741s 233911808 0.6493823 500 0
generation_cputime_1min 5 Modular 59.757s 238019072 0.791822233333 600 0
generation_cputime_1min 6 Modular 59.747s 235934208 0.915031333333 700 0
generation_cputime_1min 7 Modular 59.750s 237075712 1.04977666667 800 0
generation_cputime_1min 8 Modular 59.766s 239521280 1.19149966667 900 0
generation_cputime_1min 9 Modular 59.766s 221100544 1.22097866667 1000 0
generation_cputime_1min 10 Modular 59.785s 235791616 1.43049533333 1100 0
generation_cputime_1min 11 Modular 59.769s 237200384 1.568531 1200 0
generation_cputime_1min 12 Modular 59.770s 238844672 1.70919766667 1300 0
generation_cputime_1min 13 Modular 59.742s 237436928 1.82922366667 1400 0
generation_cputime_1min 14 Modular 59.763s 239129344 1.971163 1500 0
generation_cputime_1min 15 Modular 59.760s 238278144 1.964252 1500 0
generation_cputime_1min 16 Modular 59.760s 240053248 2.62553366667 2000 0
generation_cputime_1min 17 Modular 59.772s 236369152 3.21513633333 2500 0
generation_cputime_1min 18 Modular 59.771s 230663680 3.74667033333 3000 0
generation_cputime_1min 19 Modular 59.781s 236568064 4.46047633333 3500 0
generation_cputime_1min 20 Modular 59.777s 233377280 5.00567433333 4000 0
generation_cputime_1min 21 Modular 59.773s 235707648 5.660055 4500 0
generation_cputime_1min 22 Modular 59.773s 222907392 5.92111966667 5000 0
generation_cputime_1min 23 Modular 59.784s 231912960 6.74071233333 5500 0
generation_cputime_1min 24 Modular 59.773s 228395008 7.20998966667 6000 0
generation_cputime_1min 25 Modular 59.781s 218932736 7.45088166667 6500 0
generation_cputime_1min 26 Modular 59.789s 197958656 7.22064966667 7000 0
generation_cputime_1min 27 Modular 59.817s 227393536 8.841047 7500 0
generation_cputime_1min 28 Modular 59.795s 226477056 9.352107 8000 0
generation_cputime_1min 29 Modular 59.791s 224153344 9.79024866667 8500 0
generation_cputime_1min 30 Modular 59.791s 224453632 10.3319733333 9000 0
generation_cputime_1min 31 Modular 59.802s 222891008 10.77916 9500 0
generation_cputime_1min 32 Modular 59.794s 226226944 11.46596 10000 0
generation_cputime_1min 33 Modular 59.787s 221175296 16.08502 15000 0
generation_cputime_1min 34 Modular 59.823s 207067648 19.23009 20000 0
generation_cputime_1min 35 Modular 59.875s 206671616 23.0116066667 25000 0
generation_cputime_1min 36 Modular 59.914s 201465088 25.86655 30000 0
generation_cputime_1min 0 Monolithic 59.941s 251734784 0.209880733333 100 0
generation_cputime_1min 1 Monolithic 59.646s 248424192 0.416115533333 200 0
generation_cputime_1min 2 Monolithic 59.641s 246489856 0.619064066667 300 0
generation_cputime_1min 3 Monolithic 59.639s 250024192 0.836837033333 400 0
generation_cputime_1min 4 Monolithic 59.648s 239986688 1.00338083333 500 0
generation_cputime_1min 5 Monolithic 59.653s 254270464 1.274858 600 0
generation_cputime_1min 6 Monolithic 59.628s 252318976 1.47602633333 700 0
generation_cputime_1min 7 Monolithic 59.647s 251853312 1.682249 800 0
generation_cputime_1min 8 Monolithic 59.625s 251433216 1.889191 900 0
generation_cputime_1min 9 Monolithic 59.645s 246157568 2.05337633333 1000 0
generation_cputime_1min 10 Monolithic 59.648s 261217024 2.39544433333 1100 0
generation_cputime_1min 11 Monolithic 59.629s 258504960 2.58596833333 1200 0
generation_cputime_1min 12 Monolithic 59.626s 253941504 2.750565 1300 0
generation_cputime_1min 13 Monolithic 59.638s 260806400 3.03992333333 1400 0
generation_cputime_1min 14 Monolithic 59.634s 261438464 3.26394766667 1500 0
generation_cputime_1min 15 Monolithic 59.630s 243078912 3.03481033333 1500 0
generation_cputime_1min 16 Monolithic 59.649s 260538880 4.32363933333 2000 0
generation_cputime_1min 17 Monolithic 59.630s 262631424 5.43783666667 2500 0
generation_cputime_1min 18 Monolithic 59.634s 262791168 6.512735 3000 0
generation_cputime_1min 19 Monolithic 59.633s 262732288 7.57685933333 3500 0
generation_cputime_1min 20 Monolithic 59.637s 256351488 8.429252 4000 0
generation_cputime_1min 21 Monolithic 59.638s 261551104 9.651494 4500 0
generation_cputime_1min 22 Monolithic 59.628s 256468992 10.4913796667 5000 0
generation_cputime_1min 23 Monolithic 59.645s 267957504 12.0238333333 5500 0
generation_cputime_1min 24 Monolithic 59.625s 263331328 12.8635166667 6000 0
generation_cputime_1min 25 Monolithic 59.639s 262844160 13.8742266667 6500 0
generation_cputime_1min 26 Monolithic 59.624s 262651392 14.8946793103 7000 0
generation_cputime_1min 27 Monolithic 59.606s 261351936 15.84992 7500 0
generation_cputime_1min 28 Monolithic 59.641s 264323584 17.0470866667 8000 0
generation_cputime_1min 29 Monolithic 59.630s 262454272 17.9434133333 8500 0
generation_cputime_1min 30 Monolithic 59.638s 270772992 19.5517866667 9000 0
generation_cputime_1min 31 Monolithic 59.617s 263476224 20.0408833333 9500 0
generation_cputime_1min 32 Monolithic 59.626s 253563648 20.2534433333 10000 0
generation_cputime_1min 33 Monolithic 59.650s 256359424 29.9854033333 15000 0
generation_cputime_1min 34 Monolithic 59.650s 264806400 40.3615233333 20000 0
generation_cputime_1min 35 Monolithic 59.648s 258317824 48.1243066667 25000 0
generation_cputime_1min 36 Monolithic 59.665s 252939776 55.3024266667 30000 0
