Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_cputime_1min 0 Modular 59.774s 72023552 0.0401253966667 100 0
polling_cputime_1min 1 Modular 59.937s 67394304 0.07482194 200 0
polling_cputime_1min 2 Modular 59.941s 64811264 0.10779542 300 0
polling_cputime_1min 3 Modular 59.911s 58282752 0.129230606667 400 0
polling_cputime_1min 4 Modular 59.937s 53005568 0.146683966667 500 0
polling_cputime_1min 5 Modular 59.940s 56275456 0.186676066667 600 0
polling_cputime_1min 6 Modular 59.928s 58098176 0.224654433333 700 0
polling_cputime_1min 7 Modular 59.940s 54040832 0.238548 800 0
polling_cputime_1min 8 Modular 59.932s 46093056 0.22873997 900 0
polling_cputime_1min 9 Modular 59.933s 48846080 0.268902233333 1000 0
polling_cputime_1min 10 Modular 59.862s 44807424 0.271328 1100 0
polling_cputime_1min 11 Modular 59.888s 46779136 0.308578466667 1200 0
polling_cputime_1min 12 Modular 59.902s 38069504 0.271771376667 1300 0
polling_cputime_1min 13 Modular 59.837s 37391104 0.287557033333 1400 0
polling_cputime_1min 14 Modular 59.875s 33524992 0.275912533333 1500 0
polling_cputime_1min 15 Modular 59.904s 36399872 0.2993703 1500 0
polling_cputime_1min 16 Modular 59.906s 36921088 0.402864666667 2000 0
polling_cputime_1min 17 Modular 59.906s 36942592 0.501406233333 2500 0
polling_cputime_1min 18 Modular 59.895s 36475648 0.591355766667 3000 0
polling_cputime_1min 19 Modular 59.906s 95299840 1.79477696667 3500 0
polling_cputime_1min 20 Modular 59.970s 141790208 3.03127466667 4000 0
polling_cputime_1min 21 Modular 59.969s 142642176 3.41438033333 4500 0
polling_cputime_1min 22 Modular 59.963s 142792192 3.78004766667 5000 0
polling_cputime_1min 23 Modular 59.967s 142653184 4.13395433333 5500 0
polling_cputime_1min 24 Modular 59.968s 140331008 4.41542533333 6000 0
polling_cputime_1min 25 Modular 59.966s 139908608 4.74683566667 6500 0
polling_cputime_1min 26 Modular 59.971s 140890112 5.12324533333 7000 0
polling_cputime_1min 27 Modular 59.967s 142114304 5.51147066667 7500 0
polling_cputime_1min 28 Modular 59.966s 141530112 5.82771466667 8000 0
polling_cputime_1min 29 Modular 59.970s 139873536 6.09092633333 8500 0
polling_cputime_1min 30 Modular 59.967s 135901184 6.237513 9000 0
polling_cputime_1min 31 Modular 59.970s 137837568 6.64736166667 9500 0
polling_cputime_1min 32 Modular 59.968s 144135680 7.28374666667 10000 0
polling_cputime_1min 33 Modular 59.970s 138572032 10.0470136667 15000 0
polling_cputime_1min 34 Modular 59.966s 147690752 13.6829666667 20000 0
polling_cputime_1min 35 Modular 59.969s 143129344 15.9120666667 25000 0
polling_cputime_1min 36 Modular 59.969s 145083904 18.6102866667 30000 0
polling_cputime_1min 0 Monolithic 59.954s 398715392 0.663723066667 100 0
polling_cputime_1min 1 Monolithic 59.965s 418525696 1.39034333333 200 0
polling_cputime_1min 2 Monolithic 59.966s 411868672 2.04819933333 300 0
polling_cputime_1min 3 Monolithic 59.964s 391323136 2.58967633333 400 0
polling_cputime_1min 4 Monolithic 59.964s 399488256 3.298148 500 0
polling_cputime_1min 5 Monolithic 59.956s 399402240 3.94969566667 600 0
polling_cputime_1min 6 Monolithic 59.963s 415114496 4.779103 700 0
polling_cputime_1min 7 Monolithic 59.960s 338466560 4.444873 800 0
polling_cputime_1min 8 Monolithic 59.962s 408550656 6.02383866667 900 0
polling_cputime_1min 9 Monolithic 59.957s 397551616 6.500688 1000 0
polling_cputime_1min 10 Monolithic 59.958s 401297152 7.20394433333 1100 0
polling_cputime_1min 11 Monolithic 59.957s 400657664 7.831169 1200 0
polling_cputime_1min 12 Monolithic 59.956s 411960576 8.706027 1300 0
polling_cputime_1min 13 Monolithic 59.955s 393430528 8.93706866667 1400 0
polling_cputime_1min 14 Monolithic 59.954s 364067584 8.84418866667 1500 0
polling_cputime_1min 15 Monolithic 59.951s 395586048 9.60953566667 1500 0
polling_cputime_1min 16 Monolithic 59.952s 376648448 12.0811073333 2000 0
polling_cputime_1min 17 Monolithic 59.946s 377356800 14.988786 2500 0
polling_cputime_1min 18 Monolithic 59.934s 383708416 18.11924 3000 0
polling_cputime_1min 19 Monolithic 59.941s 374522112 20.43886 3500 0
polling_cputime_1min 20 Monolithic 59.935s 346479872 21.41139 4000 0
polling_cputime_1min 21 Monolithic 59.932s 385703936 26.5688066667 4500 0
polling_cputime_1min 22 Monolithic 59.928s 382366720 29.00312 5000 0
polling_cputime_1min 23 Monolithic 59.924s 391290112 32.3547233333 5500 0
polling_cputime_1min 24 Monolithic 59.920s 391178496 34.97387 6000 0
polling_cputime_1min 25 Monolithic 59.912s 389171456 37.3646866667 6500 0
polling_cputime_1min 26 Monolithic 59.895s 387729152 39.74973 7000 0
polling_cputime_1min 27 Monolithic 59.908s 385342976 41.95118 7500 0
polling_cputime_1min 28 Monolithic 59.903s 382871040 44.0805933333 8000 0
polling_cputime_1min 29 Monolithic 59.896s 380746240 46.18251 8500 0
polling_cputime_1min 30 Monolithic 59.897s 374445824 47.6834866667 9000 0
polling_cputime_1min 31 Monolithic 59.896s 365197312 48.67648 9500 0
polling_cputime_1min 32 Monolithic 59.888s 361623040 50.32042 10000 0
polling_cputime_1min 33 Monolithic 59.887s 350064128 67.44936 15000 0
polling_cputime_1min 34 Monolithic 59.857s 320538368 76.5061333333 20000 0
polling_cputime_1min 35 Monolithic 59.848s 328522240 91.49236 25000 0
polling_cputime_1min 36 Monolithic 59.819s 319899392 100.272913333 30000 0
