Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 6.876 3597708.0 25.398215 1 0
mpi_nma_channeldelay_100ms 1 Modular 6.8740000000000006 3597708.0 25.42204 2 0
mpi_nma_channeldelay_100ms 2 Modular 6.711 3597708.0 25.845455 3 0
mpi_nma_channeldelay_100ms 3 Modular 8.936 3597708.0 18.4474916667 4 0
mpi_nma_channeldelay_100ms 4 Modular 9.600999999999999 3597708.0 18.00165999995 5 0
mpi_nma_channeldelay_100ms 5 Modular 6.542999999999999 3597708.0 26.385914999999997 6 0
mpi_nma_channeldelay_100ms 6 Modular 7.093 3597708.0 21.719256666699998 7 0
mpi_nma_channeldelay_100ms 7 Modular 7.4239999999999995 3597708.0 20.822544999999998 8 0
mpi_nma_channeldelay_100ms 8 Modular 11.155999999999999 3597708.0 15.85111999998 9 0
mpi_nma_channeldelay_100ms 9 Modular 11.082 3597708.0 15.21697 10 0
mpi_nma_channeldelay_100ms 10 Modular 8.768 3597708.0 17.8391983333 15 0
mpi_nma_channeldelay_100ms 11 Modular 7.119 3597708.0 21.9845166667 20 0
mpi_nma_channeldelay_100ms 12 Modular 6.7010000000000005 3597708.0 26.002205 25 0
mpi_nma_channeldelay_100ms 13 Modular 6.843 3597708.0 25.46592 30 0
mpi_nma_channeldelay_100ms 14 Modular 6.726000000000001 3597708.0 25.89303 35 0
mpi_nma_channeldelay_100ms 15 Modular 6.707000000000001 3597708.0 25.753865 40 0
mpi_nma_channeldelay_100ms 16 Modular 6.705 3597708.0 25.900045 45 0
mpi_nma_channeldelay_100ms 17 Modular 6.811 3597708.0 25.5808 50 0
mpi_nma_channeldelay_100ms 18 Modular 6.492 3597708.0 26.560164999999998 60 0
mpi_nma_channeldelay_100ms 19 Modular 6.91 3597708.0 25.25938 70 0
mpi_nma_channeldelay_100ms 20 Modular 6.5169999999999995 3597708.0 26.48407 80 0
mpi_nma_channeldelay_100ms 21 Modular 6.496 3597708.0 26.45162 90 0
mpi_nma_channeldelay_100ms 22 Modular 6.4990000000000006 3597708.0 26.511745 100 0
mpi_nma_channeldelay_100ms 23 Modular 6.589 3597708.0 26.154125 200 0
mpi_nma_channeldelay_100ms 24 Modular 6.883 3597708.0 25.34994 300 0
mpi_nma_channeldelay_100ms 25 Modular 6.569 3597708.0 26.29963 400 0
mpi_nma_channeldelay_100ms 26 Modular 6.497 3597708.0 26.520925 500 0
mpi_nma_channeldelay_100ms 0 Monolithic 5.871 1799023.0 28.499145 1 0
mpi_nma_channeldelay_100ms 1 Monolithic 5.904999999999999 1799023.0 28.309240000000003 2 0
mpi_nma_channeldelay_100ms 2 Monolithic 5.824999999999999 1799023.0 28.56155 3 0
mpi_nma_channeldelay_100ms 3 Monolithic 5.933 1799023.0 28.227829999999997 4 0
mpi_nma_channeldelay_100ms 4 Monolithic 5.961 1799023.0 28.123995 5 0
mpi_nma_channeldelay_100ms 5 Monolithic 5.871 1799023.0 28.450865 6 0
mpi_nma_channeldelay_100ms 6 Monolithic 5.929 1799023.0 28.216245 7 0
mpi_nma_channeldelay_100ms 7 Monolithic 6.05 1799023.0 27.89246 8 0
mpi_nma_channeldelay_100ms 8 Monolithic 5.929 1799023.0 28.14453 9 0
mpi_nma_channeldelay_100ms 9 Monolithic 5.813000000000001 1799023.0 28.57188 10 0
mpi_nma_channeldelay_100ms 10 Monolithic 5.942 1799023.0 28.154985 15 0
mpi_nma_channeldelay_100ms 11 Monolithic 6.014 1799023.0 27.98614 20 0
mpi_nma_channeldelay_100ms 12 Monolithic 6.0440000000000005 1799023.0 27.897105 25 0
mpi_nma_channeldelay_100ms 13 Monolithic 5.8309999999999995 1799023.0 28.471040000000002 30 0
mpi_nma_channeldelay_100ms 14 Monolithic 6.025 1799023.0 28.02693 35 0
mpi_nma_channeldelay_100ms 15 Monolithic 5.837 1799023.0 28.469365000000003 40 0
mpi_nma_channeldelay_100ms 16 Monolithic 6.069 1799023.0 27.852719999999998 45 0
mpi_nma_channeldelay_100ms 17 Monolithic 5.943 1799023.0 28.229455 50 0
mpi_nma_channeldelay_100ms 18 Monolithic 5.814 1799023.0 28.578454999999998 60 0
mpi_nma_channeldelay_100ms 19 Monolithic 5.8469999999999995 1799023.0 28.494235000000003 70 0
mpi_nma_channeldelay_100ms 20 Monolithic 6.05 1799023.0 28.075499999999998 80 0
mpi_nma_channeldelay_100ms 21 Monolithic 5.875 1799023.0 28.430374999999998 90 0
mpi_nma_channeldelay_100ms 22 Monolithic 5.8870000000000005 1799023.0 28.30125 100 0
mpi_nma_channeldelay_100ms 23 Monolithic 6.271 1799023.0 27.16834 200 0
mpi_nma_channeldelay_100ms 24 Monolithic 5.984999999999999 1799023.0 28.0546 300 0
mpi_nma_channeldelay_100ms 25 Monolithic 5.824 1799023.0 28.509545000000003 400 0
mpi_nma_channeldelay_100ms 26 Monolithic 5.881 1799023.0 28.379635 500 0
