Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 2690.613s 600000002 0.0238574112753 100 0
mpi_nma_channeldelay_100ms 0 Modular 2497.850s 1199466687 0.0240239225781 100 1
mpi_nma_channeldelay_100ms 1 Modular 1270.109s 300000002 0.047246844378 200 0
mpi_nma_channeldelay_100ms 1 Modular 1260.687s 600633355 0.0476002250396 200 1
mpi_nma_channeldelay_100ms 2 Modular 1020.235s 200000002 0.0588071741176 300 0
mpi_nma_channeldelay_100ms 2 Modular 1013.779s 401022244 0.0591999029586 300 1
mpi_nma_channeldelay_100ms 3 Modular 625.006s 150000002 0.0960696698718 400 0
mpi_nma_channeldelay_100ms 3 Modular 619.815s 301216687 0.0968162177419 400 1
mpi_nma_channeldelay_100ms 4 Modular 502.831s 120000002 0.119130464683 500 0
mpi_nma_channeldelay_100ms 4 Modular 498.516s 241333355 0.120373856 500 1
mpi_nma_channeldelay_100ms 5 Modular 426.764s 100000002 0.140303226636 600 0
mpi_nma_channeldelay_100ms 5 Modular 422.952s 201411133 0.141880377358 600 1
mpi_nma_channeldelay_100ms 6 Modular 359.406s 85714288 0.166565339444 700 0
mpi_nma_channeldelay_100ms 6 Modular 356.031s 172895260 0.168548393258 700 1
mpi_nma_channeldelay_100ms 7 Modular 318.756s 75000002 0.188418769182 800 0
mpi_nma_channeldelay_100ms 7 Modular 315.663s 151508355 0.190103291139 800 1
mpi_nma_channeldelay_100ms 8 Modular 283.229s 66666669 0.211441605634 900 0
mpi_nma_channeldelay_100ms 8 Modular 280.365s 134874096 0.214040241135 900 1
mpi_nma_channeldelay_100ms 9 Modular 251.001s 60000002 0.238370137302 1000 0
mpi_nma_channeldelay_100ms 9 Modular 248.329s 121566687 0.241651128 1000 1
mpi_nma_channeldelay_100ms 10 Modular 229.281s 54545457 0.261114187826 1100 0
mpi_nma_channeldelay_100ms 10 Modular 226.782s 110678810 0.264615789474 1100 1
mpi_nma_channeldelay_100ms 11 Modular 211.621s 50000002 0.283079192453 1200 0
mpi_nma_channeldelay_100ms 11 Modular 209.217s 101605577 0.286823266667 1200 1
mpi_nma_channeldelay_100ms 12 Modular 194.951s 46153849 0.306603472449 1300 0
