Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 5188.463 1799466689.0 0.03586937256435 100 0
mpi_nma_channeldelay_100ms 1 Modular 2530.796 900633357.0 0.0710469568978 200 0
mpi_nma_channeldelay_100ms 2 Modular 2034.0140000000001 601022246.0 0.0884071255969 300 0
mpi_nma_channeldelay_100ms 3 Modular 1244.821 451216689.0 0.14447777874275 400 0
mpi_nma_channeldelay_100ms 4 Modular 1001.347 361333357.0 0.179317392683 500 0
mpi_nma_channeldelay_100ms 5 Modular 849.716 301411135.0 0.21124341531500002 600 0
mpi_nma_channeldelay_100ms 6 Modular 715.437 258609548.0 0.250839536073 700 0
mpi_nma_channeldelay_100ms 7 Modular 634.419 226508357.0 0.28347041475150003 800 0
mpi_nma_channeldelay_100ms 8 Modular 563.594 201540765.0 0.3184617262015 900 0
mpi_nma_channeldelay_100ms 9 Modular 499.33000000000004 181566689.0 0.35919570130199996 1000 0
mpi_nma_channeldelay_100ms 10 Modular 456.063 165224267.0 0.393422082563 1100 0
mpi_nma_channeldelay_100ms 11 Modular 420.838 151605579.0 0.4264908257865 1200 0
mpi_nma_channeldelay_100ms 12 Modular 387.616 140082076.0 0.46233672502650003 1300 0
mpi_nma_channeldelay_100ms 13 Modular 362.196 130204786.0 0.4955636592795 1400 0
mpi_nma_channeldelay_100ms 14 Modular 334.054 121644469.0 0.5370848673265 1500 0
mpi_nma_channeldelay_100ms 15 Modular 336.55899999999997 121644469.0 0.5326143324929999 1500 0
mpi_nma_channeldelay_100ms 16 Modular 257.334 91683357.0 0.6959125823315 2000 0
mpi_nma_channeldelay_100ms 17 Modular 206.173 73706689.0 0.870502576923 2500 0
mpi_nma_channeldelay_100ms 18 Modular 179.707 61722246.0 0.9919588555554999 3000 0
mpi_nma_channeldelay_100ms 19 Modular 143.32 53161929.0 1.239007693319 3500 0
mpi_nma_channeldelay_100ms 20 Modular 126.019 46741689.0 1.41930375 4000 0
mpi_nma_channeldelay_100ms 21 Modular 112.84 41748174.0 1.57275769581 4500 0
mpi_nma_channeldelay_100ms 22 Modular 100.521 37753357.0 1.7611957999999999 5000 0
mpi_nma_channeldelay_100ms 23 Modular 93.019 34484874.0 1.90235366848 5500 0
mpi_nma_channeldelay_100ms 24 Modular 86.89099999999999 31761135.0 2.022632828065 6000 0
mpi_nma_channeldelay_100ms 25 Modular 79.143 29456435.0 2.21814678571 6500 0
mpi_nma_channeldelay_100ms 26 Modular 72.637 27480976.0 2.42162269006 7000 0
mpi_nma_channeldelay_100ms 27 Modular 67.71000000000001 25768913.0 2.58726103921 7500 0
mpi_nma_channeldelay_100ms 28 Modular 63.735 24270857.0 2.7443782941199997 8000 0
mpi_nma_channeldelay_100ms 29 Modular 59.077 22949043.0 2.945526291665 8500 0
mpi_nma_channeldelay_100ms 30 Modular 56.963 21774098.0 3.071628 9000 0
mpi_nma_channeldelay_100ms 31 Modular 53.536 20722832.0 3.298143000005 9500 0
mpi_nma_channeldelay_100ms 32 Modular 50.863 19776689.0 3.516048461535 10000 0
mpi_nma_channeldelay_100ms 33 Modular 34.650000000000006 13784469.0 5.132213888885 15000 0
mpi_nma_channeldelay_100ms 34 Modular 26.944 10788357.0 6.599651428574999 20000 0
mpi_nma_channeldelay_100ms 35 Modular 21.338 8990689.0 8.036607000005 25000 0
mpi_nma_channeldelay_100ms 36 Modular 18.103 7792246.0 9.62262 30000 0
mpi_nma_channeldelay_100ms 0 Monolithic 5087.698 1199600010.0 0.036686908748299996 100 0
mpi_nma_channeldelay_100ms 1 Monolithic 2426.476 600100010.0 0.07409475549165001 200 0
mpi_nma_channeldelay_100ms 2 Monolithic 1613.058 400266677.0 0.1114334529454 300 0
mpi_nma_channeldelay_100ms 3 Monolithic 1234.862 300350010.0 0.1455813517962 400 0
mpi_nma_channeldelay_100ms 4 Monolithic 977.031 240400010.0 0.183746440387 500 0
mpi_nma_channeldelay_100ms 5 Monolithic 808.693 200433344.0 0.2217554405555 600 0
mpi_nma_channeldelay_100ms 6 Monolithic 692.476 171885725.0 0.2595255231515 700 0
mpi_nma_channeldelay_100ms 7 Monolithic 627.855 150475010.0 0.28603739505750003 800 0
mpi_nma_channeldelay_100ms 8 Monolithic 542.788 133822233.0 0.3312569994825 900 0
mpi_nma_channeldelay_100ms 9 Monolithic 488.788 120500010.0 0.36741413384 1000 0
mpi_nma_channeldelay_100ms 10 Monolithic 442.201 109600011.0 0.406266859295 1100 0
mpi_nma_channeldelay_100ms 11 Monolithic 402.228 100516677.0 0.44650693767300004 1200 0
mpi_nma_channeldelay_100ms 12 Monolithic 378.957 92830781.0 0.47238153519750004 1300 0
mpi_nma_channeldelay_100ms 13 Monolithic 347.933 86242868.0 0.515018942019 1400 0
mpi_nma_channeldelay_100ms 14 Monolithic 322.972 80533344.0 0.5538135290424999 1500 0
mpi_nma_channeldelay_100ms 15 Monolithic 328.935 80533344.0 0.5450867952545 1500 0
mpi_nma_channeldelay_100ms 16 Monolithic 243.52100000000002 60550010.0 0.733485842411 2000 0
mpi_nma_channeldelay_100ms 17 Monolithic 195.70600000000002 48560010.0 0.911448549388 2500 0
mpi_nma_channeldelay_100ms 18 Monolithic 161.514 40566677.0 1.104623589939 3000 0
mpi_nma_channeldelay_100ms 19 Monolithic 140.046 34857154.0 1.269530507143 3500 0
mpi_nma_channeldelay_100ms 20 Monolithic 123.301 30575010.0 1.4368319002015 4000 0
mpi_nma_channeldelay_100ms 21 Monolithic 107.872 27244456.0 1.6410143769849999 4500 0
mpi_nma_channeldelay_100ms 22 Monolithic 97.018 24580010.0 1.825170116665 5000 0
mpi_nma_channeldelay_100ms 23 Monolithic 88.023 22400011.0 2.003848458495 5500 0
