Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 915.815s 600009 0.0838807154613 100 0
mpi_nma_channeldelay_100ms 0 Modular 914.801s 1801197678 0.0655926449782 100 1
mpi_nma_channeldelay_100ms 1 Modular 610.078s 600009 0.124101992226 200 0
mpi_nma_channeldelay_100ms 1 Modular 609.063s 901197678 0.0985771206557 200 1
mpi_nma_channeldelay_100ms 2 Modular 327.562s 600009 0.225536471698 300 0
mpi_nma_channeldelay_100ms 2 Modular 326.547s 601197678 0.183824713415 300 1
mpi_nma_channeldelay_100ms 3 Modular 238.674s 600009 0.251128059829 400 0
mpi_nma_channeldelay_100ms 3 Modular 237.658s 451197678 0.252446705882 400 1
mpi_nma_channeldelay_100ms 4 Modular 191.535s 600009 0.313208159574 500 0
mpi_nma_channeldelay_100ms 4 Modular 190.519s 361197678 0.314915520833 500 1
mpi_nma_channeldelay_100ms 5 Modular 159.841s 600009 0.37451321519 600 0
mpi_nma_channeldelay_100ms 5 Modular 158.824s 301197678 0.3775625 600 1
mpi_nma_channeldelay_100ms 6 Modular 137.653s 600009 0.435604838235 700 0
mpi_nma_channeldelay_100ms 6 Modular 136.637s 258340536 0.439318449275 700 1
mpi_nma_channeldelay_100ms 7 Modular 128.460s 600009 0.567952359375 800 0
mpi_nma_channeldelay_100ms 7 Modular 127.444s 226197678 0.470910984375 800 1
mpi_nma_channeldelay_100ms 8 Modular 105.284s 600009 0.689051830189 900 0
mpi_nma_channeldelay_100ms 8 Modular 104.269s 201197679 0.575866226415 900 1
mpi_nma_channeldelay_100ms 9 Modular 97.115s 600009 0.736700673469 1000 0
mpi_nma_channeldelay_100ms 9 Modular 96.099s 181197678 0.624367346939 1000 1
mpi_nma_channeldelay_100ms 10 Modular 88.447s 600009 0.67714425 1100 0
mpi_nma_channeldelay_100ms 10 Modular 87.431s 164834043 0.686397840909 1100 1
mpi_nma_channeldelay_100ms 11 Modular 82.104s 600009 0.727339731707 1200 0
mpi_nma_channeldelay_100ms 11 Modular 81.089s 151197678 0.738692 1200 1
mpi_nma_channeldelay_100ms 12 Modular 75.629s 600009 0.784450594737 1300 0
mpi_nma_channeldelay_100ms 12 Modular 74.613s 139659219 0.804582342105 1300 1
mpi_nma_channeldelay_100ms 13 Modular 67.139s 600009 1.07248961765 1400 0
mpi_nma_channeldelay_100ms 13 Modular 66.124s 129769107 0.908171147059 1400 1
mpi_nma_channeldelay_100ms 14 Modular 62.486s 600009 1.152569125 1500 0
mpi_nma_channeldelay_100ms 14 Modular 61.470s 121197678 0.975901096774 1500 1
mpi_nma_channeldelay_100ms 15 Modular 63.030s 600009 1.1475299375 1500 0
mpi_nma_channeldelay_100ms 15 Modular 62.015s 121197678 0.969106875 1500 1
mpi_nma_channeldelay_100ms 16 Modular 47.383s 600009 1.24672983333 2000 0
mpi_nma_channeldelay_100ms 16 Modular 46.367s 91197678 1.29465958333 2000 1
mpi_nma_channeldelay_100ms 17 Modular 38.993s 600009 1.794553 2500 0
mpi_nma_channeldelay_100ms 17 Modular 37.978s 73197678 1.57992 2500 1
mpi_nma_channeldelay_100ms 18 Modular 33.651s 600009 1.76874982353 3000 0
mpi_nma_channeldelay_100ms 18 Modular 32.637s 61197678 1.84064117647 3000 1
mpi_nma_channeldelay_100ms 19 Modular 28.470s 600009 2.45097066667 3500 0
mpi_nma_channeldelay_100ms 19 Modular 27.455s 52626252 2.18630928571 3500 1
mpi_nma_channeldelay_100ms 20 Modular 25.210s 600009 2.31470038462 4000 0
mpi_nma_channeldelay_100ms 20 Modular 24.195s 46197678 2.48312076923 4000 1
mpi_nma_channeldelay_100ms 21 Modular 23.140s 600009 2.50626816667 4500 0
mpi_nma_channeldelay_100ms 21 Modular 22.122s 41197680 2.69833583333 4500 1
mpi_nma_channeldelay_100ms 22 Modular 22.315s 600009 3.04989583333 5000 0
mpi_nma_channeldelay_100ms 22 Modular 21.300s 37197678 2.82129636364 5000 1
mpi_nma_channeldelay_100ms 23 Modular 20.821s 600009 3.28773363636 5500 0
mpi_nma_channeldelay_100ms 23 Modular 19.806s 33924951 3.026122 5500 1
mpi_nma_channeldelay_100ms 24 Modular 17.944s 600009 3.33618777778 6000 0
mpi_nma_channeldelay_100ms 24 Modular 16.929s 31197678 3.54166444444 6000 1
mpi_nma_channeldelay_100ms 25 Modular 17.117s 600009 3.34581011111 6500 0
mpi_nma_channeldelay_100ms 25 Modular 16.102s 28889988 3.73756222222 6500 1
mpi_nma_channeldelay_100ms 26 Modular 15.922s 600009 3.7569825 7000 0
mpi_nma_channeldelay_100ms 26 Modular 14.907s 26911965 4.032665 7000 1
mpi_nma_channeldelay_100ms 27 Modular 15.097s 600009 3.764185375 7500 0
mpi_nma_channeldelay_100ms 27 Modular 14.082s 25197678 4.26452875 7500 1
mpi_nma_channeldelay_100ms 28 Modular 14.340s 600009 4.5556675 8000 0
mpi_nma_channeldelay_100ms 28 Modular 13.325s 23697678 4.49922 8000 1
mpi_nma_channeldelay_100ms 29 Modular 13.706s 600009 4.32618428571 8500 0
mpi_nma_channeldelay_100ms 29 Modular 12.690s 22374150 4.74138142857 8500 1
mpi_nma_channeldelay_100ms 30 Modular 13.094s 600009 4.31038457143 9000 0
mpi_nma_channeldelay_100ms 30 Modular 12.079s 21197679 4.99853 9000 1
mpi_nma_channeldelay_100ms 31 Modular 12.558s 600009 5.14087714286 9500 0
mpi_nma_channeldelay_100ms 31 Modular 11.543s 20145048 5.20326833333 9500 1
mpi_nma_channeldelay_100ms 32 Modular 12.037s 600009 5.26180428571 10000 0
mpi_nma_channeldelay_100ms 32 Modular 11.021s 19197678 5.45545666667 10000 1
mpi_nma_channeldelay_100ms 33 Modular 9.137s 600009 6.0719696 15000 0
mpi_nma_channeldelay_100ms 33 Modular 8.122s 13197678 7.401526 15000 1
mpi_nma_channeldelay_100ms 34 Modular 7.820s 600009 7.587705 20000 0
mpi_nma_channeldelay_100ms 34 Modular 6.805s 10197678 8.80988 20000 1
mpi_nma_channeldelay_100ms 35 Modular 6.809s 600009 8.6414 25000 0
mpi_nma_channeldelay_100ms 35 Modular 5.794s 8397678 10.3117733333 25000 1
mpi_nma_channeldelay_100ms 36 Modular 5.963s 600009 10.0337866667 30000 0
mpi_nma_channeldelay_100ms 36 Modular 4.948s 7197678 12.1010333333 30000 1
mpi_nma_channeldelay_100ms 0 Monolithic 130.281s 600009 0.563298969231 100 0
mpi_nma_channeldelay_100ms 0 Monolithic 129.264s 600599007 0.464192846154 100 1
mpi_nma_channeldelay_100ms 1 Monolithic 68.513s 600009 1.05353357143 200 0
mpi_nma_channeldelay_100ms 1 Monolithic 67.495s 300599007 0.888932794118 200 1
mpi_nma_channeldelay_100ms 2 Monolithic 44.799s 600009 1.59627052174 300 0
mpi_nma_channeldelay_100ms 2 Monolithic 43.782s 200599007 1.37041454545 300 1
mpi_nma_channeldelay_100ms 3 Monolithic 35.598s 600009 1.67112577778 400 0
mpi_nma_channeldelay_100ms 3 Monolithic 34.581s 150599007 1.73542055556 400 1
mpi_nma_channeldelay_100ms 4 Monolithic 35.084s 600009 1.98448394444 500 0
mpi_nma_channeldelay_100ms 4 Monolithic 34.067s 120599007 1.77737244444 500 1
mpi_nma_channeldelay_100ms 5 Monolithic 26.388s 600009 2.58251214286 600 0
mpi_nma_channeldelay_100ms 5 Monolithic 25.371s 100599007 2.36529076923 600 1
mpi_nma_channeldelay_100ms 6 Monolithic 21.846s 600009 2.73580818182 700 0
mpi_nma_channeldelay_100ms 6 Monolithic 20.830s 86313293 2.88882454545 700 1
mpi_nma_channeldelay_100ms 7 Monolithic 18.917s 600009 3.584846 800 0
mpi_nma_channeldelay_100ms 7 Monolithic 17.899s 75599007 3.35254222222 800 1
mpi_nma_channeldelay_100ms 8 Monolithic 16.804s 600009 3.98753555556 900 0
mpi_nma_channeldelay_100ms 8 Monolithic 15.787s 67265674 3.8013525 900 1
mpi_nma_channeldelay_100ms 9 Monolithic 16.093s 600009 4.10961444444 1000 0
mpi_nma_channeldelay_100ms 9 Monolithic 15.076s 60599007 3.98584625 1000 1
mpi_nma_channeldelay_100ms 10 Monolithic 14.488s 600009 4.40866625 1100 0
mpi_nma_channeldelay_100ms 10 Monolithic 13.467s 55144462 4.45312857143 1100 1
mpi_nma_channeldelay_100ms 11 Monolithic 13.824s 600009 4.31013428571 1200 0
mpi_nma_channeldelay_100ms 11 Monolithic 12.806s 50599007 4.66738285714 1200 1
mpi_nma_channeldelay_100ms 12 Monolithic 13.894s 600009 4.29878142857 1300 0
mpi_nma_channeldelay_100ms 12 Monolithic 12.877s 46752854 4.64486714286 1300 1
mpi_nma_channeldelay_100ms 13 Monolithic 11.111s 600009 5.03550983333 1400 0
mpi_nma_channeldelay_100ms 13 Monolithic 10.094s 43456150 6.02579666667 1400 1
mpi_nma_channeldelay_100ms 14 Monolithic 11.201s 600009 5.06250783333 1500 0
mpi_nma_channeldelay_100ms 14 Monolithic 10.181s 40599007 5.92766333333 1500 1
mpi_nma_channeldelay_100ms 15 Monolithic 11.195s 600009 5.04786666667 1500 0
mpi_nma_channeldelay_100ms 15 Monolithic 10.178s 40599007 5.73251 1500 1
mpi_nma_channeldelay_100ms 16 Monolithic 9.758s 600009 6.07482 2000 0
mpi_nma_channeldelay_100ms 16 Monolithic 8.742s 30599007 6.921204 2000 1
mpi_nma_channeldelay_100ms 17 Monolithic 8.095s 600009 7.337586 2500 0
mpi_nma_channeldelay_100ms 17 Monolithic 7.078s 24599007 8.4894875 2500 1
