Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 1830.616 1801797687.0 0.1166770379504 100 0
mpi_nma_channeldelay_100ms 1 Modular 1219.141 901797687.0 0.17339055255385 200 0
mpi_nma_channeldelay_100ms 2 Modular 654.109 601797687.0 0.31744882840550004 300 0
mpi_nma_channeldelay_100ms 3 Modular 476.332 451797687.0 0.37735141277 400 0
mpi_nma_channeldelay_100ms 4 Modular 382.054 361797687.0 0.4706659199905 500 0
mpi_nma_channeldelay_100ms 5 Modular 318.665 301797687.0 0.56329446519 600 0
mpi_nma_channeldelay_100ms 6 Modular 274.28999999999996 258940545.0 0.6552640628725 700 0
mpi_nma_channeldelay_100ms 7 Modular 255.904 226797687.0 0.8034078515625 800 0
mpi_nma_channeldelay_100ms 8 Modular 209.553 201797688.0 0.9769849433964999 900 0
mpi_nma_channeldelay_100ms 9 Modular 193.214 181797687.0 1.0488843469385 1000 0
mpi_nma_channeldelay_100ms 10 Modular 175.878 165434052.0 1.0203431704545 1100 0
mpi_nma_channeldelay_100ms 11 Modular 163.19299999999998 151797687.0 1.096685731707 1200 0
mpi_nma_channeldelay_100ms 12 Modular 150.24200000000002 140259228.0 1.1867417657894999 1300 0
mpi_nma_channeldelay_100ms 13 Modular 133.26299999999998 130369116.0 1.5265751911795 1400 0
mpi_nma_channeldelay_100ms 14 Modular 123.95599999999999 121797687.0 1.6405196733870002 1500 0
mpi_nma_channeldelay_100ms 15 Modular 125.045 121797687.0 1.6320833750000001 1500 0
mpi_nma_channeldelay_100ms 16 Modular 93.75 91797687.0 1.8940596249950001 2000 0
mpi_nma_channeldelay_100ms 17 Modular 76.971 73797687.0 2.5845130000000003 2500 0
mpi_nma_channeldelay_100ms 18 Modular 66.28800000000001 61797687.0 2.689070411765 3000 0
mpi_nma_channeldelay_100ms 19 Modular 55.925 53226261.0 3.544125309525 3500 0
mpi_nma_channeldelay_100ms 20 Modular 49.405 46797687.0 3.556260769235 4000 0
mpi_nma_channeldelay_100ms 21 Modular 45.262 41797689.0 3.855436083335 4500 0
mpi_nma_channeldelay_100ms 22 Modular 43.615 37797687.0 4.46054401515 5000 0
mpi_nma_channeldelay_100ms 23 Modular 40.627 34524960.0 4.80079463636 5500 0
mpi_nma_channeldelay_100ms 24 Modular 34.873 31797687.0 5.10702 6000 0
mpi_nma_channeldelay_100ms 25 Modular 33.219 29489997.0 5.21459122222 6500 0
mpi_nma_channeldelay_100ms 26 Modular 30.829 27511974.0 5.773315 7000 0
mpi_nma_channeldelay_100ms 27 Modular 29.179000000000002 25797687.0 5.89644975 7500 0
mpi_nma_channeldelay_100ms 28 Modular 27.665 24297687.0 6.805277500000001 8000 0
mpi_nma_channeldelay_100ms 29 Modular 26.396 22974159.0 6.696874999995 8500 0
mpi_nma_channeldelay_100ms 30 Modular 25.173000000000002 21797688.0 6.8096495714300005 9000 0
mpi_nma_channeldelay_100ms 31 Modular 24.101 20745057.0 7.742511309525 9500 0
mpi_nma_channeldelay_100ms 32 Modular 23.058 19797687.0 7.989532619045001 10000 0
mpi_nma_channeldelay_100ms 33 Modular 17.259 13797687.0 9.7727326 15000 0
mpi_nma_channeldelay_100ms 34 Modular 14.625 10797687.0 11.992645 20000 0
mpi_nma_channeldelay_100ms 35 Modular 12.603 8997687.0 13.79728666665 25000 0
mpi_nma_channeldelay_100ms 36 Modular 10.911000000000001 7797687.0 16.08430333335 30000 0
mpi_nma_channeldelay_100ms 0 Monolithic 259.545 601199016.0 0.7953953923079999 100 0
mpi_nma_channeldelay_100ms 1 Monolithic 136.008 301199016.0 1.497999968489 200 0
mpi_nma_channeldelay_100ms 2 Monolithic 88.58099999999999 201199016.0 2.281477794465 300 0
mpi_nma_channeldelay_100ms 3 Monolithic 70.179 151199016.0 2.53883605556 400 0
mpi_nma_channeldelay_100ms 4 Monolithic 69.15100000000001 121199016.0 2.87317016666 500 0
mpi_nma_channeldelay_100ms 5 Monolithic 51.759 101199016.0 3.765157527475 600 0
mpi_nma_channeldelay_100ms 6 Monolithic 42.676 86913302.0 4.180220454545 700 0
mpi_nma_channeldelay_100ms 7 Monolithic 36.816 76199016.0 5.26111711111 800 0
mpi_nma_channeldelay_100ms 8 Monolithic 32.591 67865683.0 5.88821180556 900 0
mpi_nma_channeldelay_100ms 9 Monolithic 31.169 61199016.0 6.10253756944 1000 0
mpi_nma_channeldelay_100ms 10 Monolithic 27.955 55744471.0 6.635230535714999 1100 0
mpi_nma_channeldelay_100ms 11 Monolithic 26.63 51199016.0 6.64382571428 1200 0
mpi_nma_channeldelay_100ms 12 Monolithic 26.771 47352863.0 6.621214999999999 1300 0
mpi_nma_channeldelay_100ms 13 Monolithic 21.205 44056159.0 8.048408166665 1400 0
mpi_nma_channeldelay_100ms 14 Monolithic 21.381999999999998 41199016.0 8.026339499995 1500 0
