Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_1000ms 0 Modular 4.524s 600009 11.65383 1 0
mpi_nma_channeldelay_1000ms 0 Modular 2.780s 2883367 21.2066 1 1
mpi_nma_channeldelay_1000ms 1 Modular 4.524s 600009 11.65375 2 0
mpi_nma_channeldelay_1000ms 1 Modular 2.780s 2883367 21.41225 2 1
mpi_nma_channeldelay_1000ms 2 Modular 4.481s 600009 11.7060633333 3 0
mpi_nma_channeldelay_1000ms 2 Modular 2.738s 2883367 21.21 3 1
mpi_nma_channeldelay_1000ms 3 Modular 4.443s 600009 11.7416233333 4 0
mpi_nma_channeldelay_1000ms 3 Modular 2.699s 2883367 21.81865 4 1
mpi_nma_channeldelay_1000ms 4 Modular 4.452s 600009 11.7373 5 0
mpi_nma_channeldelay_1000ms 4 Modular 2.709s 2883367 21.7291 5 1
mpi_nma_channeldelay_1000ms 5 Modular 4.481s 600009 11.7007966667 6 0
mpi_nma_channeldelay_1000ms 5 Modular 2.736s 2883367 21.5225 6 1
mpi_nma_channeldelay_1000ms 6 Modular 4.427s 600009 11.76607 7 0
mpi_nma_channeldelay_1000ms 6 Modular 2.683s 2883367 21.926 7 1
mpi_nma_channeldelay_1000ms 7 Modular 4.442s 600009 11.7423266667 8 0
mpi_nma_channeldelay_1000ms 7 Modular 2.695s 2883367 21.84055 8 1
mpi_nma_channeldelay_1000ms 8 Modular 4.467s 600009 11.7245066667 9 0
mpi_nma_channeldelay_1000ms 8 Modular 2.725s 2883367 21.6093 9 1
mpi_nma_channeldelay_1000ms 9 Modular 4.424s 600009 11.7700166667 10 0
mpi_nma_channeldelay_1000ms 9 Modular 2.680s 2883367 21.9525 10 1
mpi_nma_channeldelay_1000ms 10 Modular 4.463s 600009 11.7297333333 15 0
mpi_nma_channeldelay_1000ms 10 Modular 2.719s 2883367 21.6046 15 1
mpi_nma_channeldelay_1000ms 11 Modular 4.436s 600009 11.7541033333 20 0
mpi_nma_channeldelay_1000ms 11 Modular 2.693s 2883367 21.8376 20 1
mpi_nma_channeldelay_1000ms 12 Modular 4.473s 600009 11.7130833333 25 0
mpi_nma_channeldelay_1000ms 12 Modular 2.728s 2883367 21.5711 25 1
mpi_nma_channeldelay_1000ms 13 Modular 4.441s 600009 11.7474333333 30 0
mpi_nma_channeldelay_1000ms 13 Modular 2.697s 2883367 21.82715 30 1
mpi_nma_channeldelay_1000ms 14 Modular 4.461s 600009 11.72678 35 0
mpi_nma_channeldelay_1000ms 14 Modular 2.716s 2883367 21.6738 35 1
mpi_nma_channeldelay_1000ms 15 Modular 4.426s 600009 11.7621733333 40 0
mpi_nma_channeldelay_1000ms 15 Modular 2.682s 2883367 21.92655 40 1
mpi_nma_channeldelay_1000ms 16 Modular 4.436s 600009 11.7579133333 45 0
mpi_nma_channeldelay_1000ms 16 Modular 2.692s 2883367 21.84725 45 1
mpi_nma_channeldelay_1000ms 17 Modular 4.491s 600009 11.6876633333 50 0
mpi_nma_channeldelay_1000ms 17 Modular 2.745s 2883367 21.4634 50 1
mpi_nma_channeldelay_1000ms 18 Modular 4.445s 600009 11.73883 60 0
mpi_nma_channeldelay_1000ms 18 Modular 2.699s 2883367 21.79485 60 1
mpi_nma_channeldelay_1000ms 19 Modular 4.430s 600009 11.7599466667 70 0
mpi_nma_channeldelay_1000ms 19 Modular 2.686s 2883367 21.90695 70 1
mpi_nma_channeldelay_1000ms 20 Modular 4.500s 600009 11.6796766667 80 0
mpi_nma_channeldelay_1000ms 20 Modular 2.754s 2883367 21.3819 80 1
mpi_nma_channeldelay_1000ms 21 Modular 4.443s 600009 11.7453066667 90 0
mpi_nma_channeldelay_1000ms 21 Modular 2.700s 2883367 21.7799 90 1
mpi_nma_channeldelay_1000ms 22 Modular 4.451s 600009 11.7381266667 100 0
mpi_nma_channeldelay_1000ms 22 Modular 2.704s 2883367 21.7583 100 1
mpi_nma_channeldelay_1000ms 23 Modular 4.442s 600009 11.75005 200 0
mpi_nma_channeldelay_1000ms 23 Modular 2.699s 2883367 21.81155 200 1
mpi_nma_channeldelay_1000ms 24 Modular 4.432s 600009 11.75988 300 0
mpi_nma_channeldelay_1000ms 24 Modular 2.690s 2883367 21.87035 300 1
mpi_nma_channeldelay_1000ms 25 Modular 4.437s 600009 11.7567333333 400 0
mpi_nma_channeldelay_1000ms 25 Modular 2.694s 2883367 21.83635 400 1
mpi_nma_channeldelay_1000ms 26 Modular 4.439s 600009 11.75021 500 0
mpi_nma_channeldelay_1000ms 26 Modular 2.693s 2883367 21.8587 500 1
mpi_nma_channeldelay_1000ms 0 Monolithic 4.043s 600009 12.2530066667 1 0
mpi_nma_channeldelay_1000ms 0 Monolithic 2.294s 1150014 25.2728 1 1
mpi_nma_channeldelay_1000ms 1 Monolithic 3.974s 600009 15.03635 2 0
mpi_nma_channeldelay_1000ms 1 Monolithic 2.230s 1150014 25.87 2 1
mpi_nma_channeldelay_1000ms 2 Monolithic 4.087s 600009 12.1632566667 3 0
mpi_nma_channeldelay_1000ms 2 Monolithic 2.342s 1150014 24.8272 3 1
mpi_nma_channeldelay_1000ms 3 Monolithic 4.031s 600009 12.25547 4 0
mpi_nma_channeldelay_1000ms 3 Monolithic 2.288s 1150014 25.37555 4 1
mpi_nma_channeldelay_1000ms 4 Monolithic 4.132s 600009 12.1172366667 5 0
mpi_nma_channeldelay_1000ms 4 Monolithic 2.392s 1150014 24.17845 5 1
mpi_nma_channeldelay_1000ms 5 Monolithic 4.039s 600009 12.2131366667 6 0
mpi_nma_channeldelay_1000ms 5 Monolithic 2.293s 1150014 25.243 6 1
mpi_nma_channeldelay_1000ms 6 Monolithic 4.086s 600009 12.1443 7 0
mpi_nma_channeldelay_1000ms 6 Monolithic 2.343s 1150014 24.99 7 1
mpi_nma_channeldelay_1000ms 7 Monolithic 4.025s 600009 12.3216233333 8 0
mpi_nma_channeldelay_1000ms 7 Monolithic 2.281s 1150014 25.4425 8 1
mpi_nma_channeldelay_1000ms 8 Monolithic 4.026s 600009 12.21485 9 0
mpi_nma_channeldelay_1000ms 8 Monolithic 2.280s 1150014 25.42285 9 1
mpi_nma_channeldelay_1000ms 9 Monolithic 4.009s 600009 14.98577 10 0
mpi_nma_channeldelay_1000ms 9 Monolithic 2.265s 1150014 25.56415 10 1
mpi_nma_channeldelay_1000ms 10 Monolithic 3.996s 600009 15.005635 15 0
mpi_nma_channeldelay_1000ms 10 Monolithic 2.253s 1150014 25.72195 15 1
mpi_nma_channeldelay_1000ms 11 Monolithic 3.978s 600009 15.031255 20 0
mpi_nma_channeldelay_1000ms 11 Monolithic 2.254s 1150014 25.7661 20 1
mpi_nma_channeldelay_1000ms 12 Monolithic 4.022s 600009 12.2433566667 25 0
mpi_nma_channeldelay_1000ms 12 Monolithic 2.278s 1150014 25.4944 25 1
mpi_nma_channeldelay_1000ms 13 Monolithic 4.014s 600009 12.3585866667 30 0
mpi_nma_channeldelay_1000ms 13 Monolithic 2.270s 1150014 25.5232 30 1
mpi_nma_channeldelay_1000ms 14 Monolithic 4.006s 600009 14.992175 35 0
mpi_nma_channeldelay_1000ms 14 Monolithic 2.263s 1150014 25.59335 35 1
mpi_nma_channeldelay_1000ms 15 Monolithic 4.025s 600009 12.21179 40 0
mpi_nma_channeldelay_1000ms 15 Monolithic 2.279s 1150014 25.43075 40 1
mpi_nma_channeldelay_1000ms 16 Monolithic 4.079s 600009 12.16317 45 0
mpi_nma_channeldelay_1000ms 16 Monolithic 2.334s 1150014 24.8361 45 1
mpi_nma_channeldelay_1000ms 17 Monolithic 4.072s 600009 12.1771333333 50 0
mpi_nma_channeldelay_1000ms 17 Monolithic 2.328s 1150014 25.1989 50 1
mpi_nma_channeldelay_1000ms 18 Monolithic 4.016s 600009 12.28671 60 0
mpi_nma_channeldelay_1000ms 18 Monolithic 2.270s 1150014 25.5232 60 1
mpi_nma_channeldelay_1000ms 19 Monolithic 4.007s 600009 14.98862 70 0
mpi_nma_channeldelay_1000ms 19 Monolithic 2.262s 1150014 25.59745 70 1
mpi_nma_channeldelay_1000ms 20 Monolithic 4.010s 600009 14.98577 80 0
mpi_nma_channeldelay_1000ms 20 Monolithic 2.265s 1150014 25.5851 80 1
mpi_nma_channeldelay_1000ms 21 Monolithic 4.023s 600009 12.21678 90 0
mpi_nma_channeldelay_1000ms 21 Monolithic 2.280s 1150014 25.42285 90 1
mpi_nma_channeldelay_1000ms 22 Monolithic 4.007s 600009 14.986095 100 0
mpi_nma_channeldelay_1000ms 22 Monolithic 2.261s 1150014 25.627 100 1
mpi_nma_channeldelay_1000ms 23 Monolithic 4.028s 600009 12.28475 200 0
mpi_nma_channeldelay_1000ms 23 Monolithic 2.285s 1150014 25.3643 200 1
mpi_nma_channeldelay_1000ms 24 Monolithic 3.989s 600009 15.016585 300 0
mpi_nma_channeldelay_1000ms 24 Monolithic 2.243s 1150014 25.83375 300 1
mpi_nma_channeldelay_1000ms 25 Monolithic 4.001s 600009 15.00002 400 0
mpi_nma_channeldelay_1000ms 25 Monolithic 2.258s 1150014 25.6353 400 1
mpi_nma_channeldelay_1000ms 26 Monolithic 4.000s 600009 15.00143 500 0
mpi_nma_channeldelay_1000ms 26 Monolithic 2.256s 1150014 25.6871 500 1
