Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 4.476s 600009 11.7055033333 1 0
mpi_nma_channeldelay_100ms 0 Modular 2.731s 2883367 21.5664 1 1
mpi_nma_channeldelay_100ms 1 Modular 4.468s 600009 11.7158333333 2 0
mpi_nma_channeldelay_100ms 1 Modular 2.722s 2883367 21.6841 2 1
mpi_nma_channeldelay_100ms 2 Modular 5.142s 600009 10.7465333333 5 0
mpi_nma_channeldelay_100ms 2 Modular 3.345s 2883367 17.56705 5 1
mpi_nma_channeldelay_100ms 3 Modular 4.583s 600009 11.58515 10 0
mpi_nma_channeldelay_100ms 3 Modular 2.836s 2883367 20.5168 10 1
mpi_nma_channeldelay_100ms 4 Modular 4.655s 600009 11.5084633333 20 0
mpi_nma_channeldelay_100ms 4 Modular 2.909s 2883367 20.5661 20 1
mpi_nma_channeldelay_100ms 5 Modular 4.527s 600009 11.6557833333 50 0
mpi_nma_channeldelay_100ms 5 Modular 2.784s 2883367 21.30355 50 1
mpi_nma_channeldelay_100ms 6 Modular 4.421s 600009 11.7699966667 1 0
mpi_nma_channeldelay_100ms 6 Modular 2.675s 2883367 21.99785 1 1
mpi_nma_channeldelay_100ms 7 Modular 4.467s 600009 11.7079833333 2 0
mpi_nma_channeldelay_100ms 7 Modular 2.721s 2883367 21.6464 2 1
mpi_nma_channeldelay_100ms 8 Modular 4.507s 600009 11.6735733333 5 0
mpi_nma_channeldelay_100ms 8 Modular 2.760s 2883367 21.3407 5 1
mpi_nma_channeldelay_100ms 9 Modular 4.511s 600009 11.6720433333 10 0
mpi_nma_channeldelay_100ms 9 Modular 2.765s 2883367 21.47015 10 1
mpi_nma_channeldelay_100ms 10 Modular 4.420s 600009 11.77536 20 0
mpi_nma_channeldelay_100ms 10 Modular 2.676s 2883367 22.0023 20 1
mpi_nma_channeldelay_100ms 11 Modular 4.447s 600009 11.7447666667 30 0
mpi_nma_channeldelay_100ms 11 Modular 2.702s 2883367 21.8141 30 1
mpi_nma_channeldelay_100ms 12 Modular 4.442s 600009 11.75183 1 0
mpi_nma_channeldelay_100ms 12 Modular 2.699s 2883367 21.81865 1 1
mpi_nma_channeldelay_100ms 13 Modular 4.435s 600009 11.75789 2 0
mpi_nma_channeldelay_100ms 13 Modular 2.692s 2883367 21.8884 2 1
mpi_nma_channeldelay_100ms 0 Monolithic 4.062s 600009 12.21307 1 0
mpi_nma_channeldelay_100ms 0 Monolithic 2.322s 1150014 25.20945 1 1
mpi_nma_channeldelay_100ms 1 Monolithic 4.019s 600009 12.28575 2 0
mpi_nma_channeldelay_100ms 1 Monolithic 2.272s 1150014 25.4947 2 1
mpi_nma_channeldelay_100ms 2 Monolithic 4.018s 600009 12.28575 5 0
mpi_nma_channeldelay_100ms 2 Monolithic 2.272s 1150014 25.4947 5 1
mpi_nma_channeldelay_100ms 3 Monolithic 4.016s 600009 12.2876633333 10 0
mpi_nma_channeldelay_100ms 3 Monolithic 2.271s 1150014 25.5191 10 1
mpi_nma_channeldelay_100ms 4 Monolithic 4.398s 600009 11.7994833333 20 0
mpi_nma_channeldelay_100ms 4 Monolithic 2.654s 1150014 21.9892 20 1
mpi_nma_channeldelay_100ms 5 Monolithic 4.036s 600009 12.2312733333 50 0
mpi_nma_channeldelay_100ms 5 Monolithic 2.289s 1150014 25.3296 50 1
mpi_nma_channeldelay_100ms 6 Monolithic 4.056s 600009 12.1997066667 1 0
mpi_nma_channeldelay_100ms 6 Monolithic 2.313s 1150014 25.05915 1 1
mpi_nma_channeldelay_100ms 7 Monolithic 4.076s 600009 12.16522 2 0
mpi_nma_channeldelay_100ms 7 Monolithic 2.333s 1150014 24.93565 2 1
mpi_nma_channeldelay_100ms 8 Monolithic 4.019s 600009 12.37863 5 0
mpi_nma_channeldelay_100ms 8 Monolithic 2.276s 1150014 25.4386 5 1
mpi_nma_channeldelay_100ms 9 Monolithic 4.130s 600009 12.1068566667 10 0
mpi_nma_channeldelay_100ms 9 Monolithic 2.384s 1150014 24.32205 10 1
mpi_nma_channeldelay_100ms 10 Monolithic 4.023s 600009 12.21775 20 0
mpi_nma_channeldelay_100ms 10 Monolithic 2.280s 1150014 25.46215 20 1
mpi_nma_channeldelay_100ms 11 Monolithic 4.051s 600009 12.2156333333 30 0
mpi_nma_channeldelay_100ms 11 Monolithic 2.311s 1150014 25.36645 30 1
mpi_nma_channeldelay_100ms 12 Monolithic 4.020s 600009 12.2452933333 1 0
mpi_nma_channeldelay_100ms 12 Monolithic 2.277s 1150014 25.4347 1 1
mpi_nma_channeldelay_100ms 13 Monolithic 4.129s 600009 12.1079366667 2 0
mpi_nma_channeldelay_100ms 13 Monolithic 2.383s 1150014 24.4502 2 1
