Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 3.806s 600009 15.456345 1 0
mpi_nma_channeldelay_100ms 0 Modular 2.791s 2997699 21.46145 1 1
mpi_nma_channeldelay_100ms 1 Modular 3.772s 600009 15.528495 2 0
mpi_nma_channeldelay_100ms 1 Modular 2.755s 2997699 21.73265 2 1
mpi_nma_channeldelay_100ms 2 Modular 3.900s 600009 15.252155 5 0
mpi_nma_channeldelay_100ms 2 Modular 2.884s 2997699 20.95905 5 1
mpi_nma_channeldelay_100ms 3 Modular 4.242s 600009 11.9833466667 10 0
mpi_nma_channeldelay_100ms 3 Modular 3.227s 2997699 18.435 10 1
mpi_nma_channeldelay_100ms 4 Modular 3.858s 600009 15.33984 20 0
mpi_nma_channeldelay_100ms 4 Modular 2.843s 2997699 21.0727 20 1
mpi_nma_channeldelay_100ms 5 Modular 3.879s 600009 15.273985 50 0
mpi_nma_channeldelay_100ms 5 Modular 2.864s 2997699 20.57475 50 1
mpi_nma_channeldelay_100ms 6 Modular 3.850s 600009 15.36366 1 0
mpi_nma_channeldelay_100ms 6 Modular 2.835s 2997699 21.1804 1 1
mpi_nma_channeldelay_100ms 7 Modular 3.850s 600009 15.360525 2 0
mpi_nma_channeldelay_100ms 7 Modular 2.834s 2997699 21.1394 2 1
mpi_nma_channeldelay_100ms 8 Modular 3.828s 600009 15.405145 5 0
mpi_nma_channeldelay_100ms 8 Modular 2.813s 2997699 21.2563 5 1
mpi_nma_channeldelay_100ms 9 Modular 3.866s 600009 15.311965 10 0
mpi_nma_channeldelay_100ms 9 Modular 2.851s 2997699 20.8392 10 1
mpi_nma_channeldelay_100ms 10 Modular 3.804s 600009 15.46627 20 0
mpi_nma_channeldelay_100ms 10 Modular 2.789s 2997699 21.5161 20 1
mpi_nma_channeldelay_100ms 11 Modular 3.893s 600009 15.264 30 0
mpi_nma_channeldelay_100ms 11 Modular 2.877s 2997699 20.9509 30 1
mpi_nma_channeldelay_100ms 12 Modular 3.823s 600009 15.42676 1 0
mpi_nma_channeldelay_100ms 12 Modular 2.808s 2997699 21.46905 1 1
mpi_nma_channeldelay_100ms 13 Modular 3.818s 600009 15.42915 2 0
mpi_nma_channeldelay_100ms 13 Modular 2.802s 2997699 21.33015 2 1
mpi_nma_channeldelay_100ms 0 Monolithic 3.516s 600009 15.96603 1 0
mpi_nma_channeldelay_100ms 0 Monolithic 2.499s 1199014 24.02535 1 1
mpi_nma_channeldelay_100ms 1 Monolithic 3.478s 600009 16.01478 2 0
mpi_nma_channeldelay_100ms 1 Monolithic 2.461s 1199014 24.49315 2 1
mpi_nma_channeldelay_100ms 2 Monolithic 3.483s 600009 16.00354 5 0
mpi_nma_channeldelay_100ms 2 Monolithic 2.467s 1199014 24.36615 5 1
mpi_nma_channeldelay_100ms 3 Monolithic 3.495s 600009 15.994 10 0
mpi_nma_channeldelay_100ms 3 Monolithic 2.479s 1199014 24.2734 10 1
mpi_nma_channeldelay_100ms 4 Monolithic 3.494s 600009 15.918605 20 0
mpi_nma_channeldelay_100ms 4 Monolithic 2.478s 1199014 23.5787 20 1
mpi_nma_channeldelay_100ms 5 Monolithic 4.549s 600009 11.1890066667 50 0
mpi_nma_channeldelay_100ms 5 Monolithic 3.532s 1199014 17.3907 50 1
mpi_nma_channeldelay_100ms 6 Monolithic 3.731s 600009 15.514565 1 0
mpi_nma_channeldelay_100ms 6 Monolithic 2.713s 1199014 20.9531 1 1
mpi_nma_channeldelay_100ms 7 Monolithic 3.689s 600009 15.700045 2 0
mpi_nma_channeldelay_100ms 7 Monolithic 2.672s 1199014 22.4408 2 1
mpi_nma_channeldelay_100ms 8 Monolithic 3.552s 600009 15.930705 5 0
mpi_nma_channeldelay_100ms 8 Monolithic 2.535s 1199014 23.7594 5 1
mpi_nma_channeldelay_100ms 9 Monolithic 3.535s 600009 15.977515 10 0
mpi_nma_channeldelay_100ms 9 Monolithic 2.517s 1199014 24.1574 10 1
mpi_nma_channeldelay_100ms 10 Monolithic 3.563s 600009 15.928305 20 0
mpi_nma_channeldelay_100ms 10 Monolithic 2.546s 1199014 23.78265 20 1
mpi_nma_channeldelay_100ms 11 Monolithic 3.521s 600009 15.936785 30 0
mpi_nma_channeldelay_100ms 11 Monolithic 2.504s 1199014 23.7773 30 1
mpi_nma_channeldelay_100ms 12 Monolithic 3.495s 600009 16.011295 1 0
mpi_nma_channeldelay_100ms 12 Monolithic 2.479s 1199014 24.44615 1 1
mpi_nma_channeldelay_100ms 13 Monolithic 3.498s 600009 15.98444 2 0
mpi_nma_channeldelay_100ms 13 Monolithic 2.481s 1199014 24.2075 2 1
