Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 0 Modular 6.5969999999999995 3597708.0 26.18707 1 0
mpi_nma_channeldelay_100ms 1 Modular 6.526999999999999 3597708.0 26.39482 2 0
mpi_nma_channeldelay_100ms 2 Modular 6.784 3597708.0 25.73168 5 0
mpi_nma_channeldelay_100ms 3 Modular 7.468999999999999 3597708.0 21.2008466667 10 0
mpi_nma_channeldelay_100ms 4 Modular 6.7010000000000005 3597708.0 25.87619 20 0
mpi_nma_channeldelay_100ms 5 Modular 6.743 3597708.0 25.56136 50 0
mpi_nma_channeldelay_100ms 6 Modular 6.6850000000000005 3597708.0 25.95386 60 0
mpi_nma_channeldelay_100ms 7 Modular 6.684 3597708.0 25.930225 120 0
mpi_nma_channeldelay_100ms 8 Modular 6.641 3597708.0 26.033295 300 0
mpi_nma_channeldelay_100ms 9 Modular 6.7170000000000005 3597708.0 25.731565000000003 600 0
mpi_nma_channeldelay_100ms 10 Modular 6.593 3597708.0 26.22432 1200 0
mpi_nma_channeldelay_100ms 11 Modular 6.77 3597708.0 25.739449999999998 1800 0
mpi_nma_channeldelay_100ms 12 Modular 6.631 3597708.0 26.161285 3600 0
mpi_nma_channeldelay_100ms 13 Modular 6.62 3597708.0 26.094225 7200 0
mpi_nma_channeldelay_100ms 0 Monolithic 6.015000000000001 1799023.0 27.978704999999998 1 0
mpi_nma_channeldelay_100ms 1 Monolithic 5.939 1799023.0 28.261355 2 0
mpi_nma_channeldelay_100ms 2 Monolithic 5.95 1799023.0 28.186615000000003 5 0
mpi_nma_channeldelay_100ms 3 Monolithic 5.974 1799023.0 28.130699999999997 10 0
mpi_nma_channeldelay_100ms 4 Monolithic 5.972 1799023.0 27.707955 20 0
mpi_nma_channeldelay_100ms 5 Monolithic 6.081 1799023.0 19.8843566667 50 0
mpi_nma_channeldelay_100ms 6 Monolithic 6.444 1799023.0 25.991115 60 0
mpi_nma_channeldelay_100ms 7 Monolithic 6.361000000000001 1799023.0 26.920445 120 0
mpi_nma_channeldelay_100ms 8 Monolithic 6.087 1799023.0 27.810405 300 0
mpi_nma_channeldelay_100ms 9 Monolithic 6.052 1799023.0 28.056215 600 0
mpi_nma_channeldelay_100ms 10 Monolithic 6.109 1799023.0 27.81963 1200 0
mpi_nma_channeldelay_100ms 11 Monolithic 6.025 1799023.0 27.825435 1800 0
mpi_nma_channeldelay_100ms 12 Monolithic 5.974 1799023.0 28.23437 3600 0
mpi_nma_channeldelay_100ms 13 Monolithic 5.979 1799023.0 28.088189999999997 7200 0
