Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_simtime_1min 0 Modular 1.278s 3600042 46.9484 1 0
eventManager_simtime_1min 1 Modular 1.286s 3600042 46.6564 2 0
eventManager_simtime_1min 2 Modular 1.442s 3600042 41.6089 3 0
eventManager_simtime_1min 3 Modular 1.271s 3600042 47.207 4 0
eventManager_simtime_1min 4 Modular 1.286s 3600042 46.6564 5 0
eventManager_simtime_1min 5 Modular 1.285s 3600042 46.6927 6 0
eventManager_simtime_1min 6 Modular 1.279s 3600042 46.9117 7 0
eventManager_simtime_1min 7 Modular 1.322s 3600042 45.3859 8 0
eventManager_simtime_1min 8 Modular 1.282s 3600042 46.802 9 0
eventManager_simtime_1min 9 Modular 1.391s 3600042 43.1345 10 0
eventManager_simtime_1min 10 Modular 1.269s 3600042 47.2814 15 0
eventManager_simtime_1min 11 Modular 1.268s 3600042 47.3187 20 0
eventManager_simtime_1min 12 Modular 1.269s 3600042 47.2814 25 0
eventManager_simtime_1min 13 Modular 1.271s 3600042 47.2442 30 0
eventManager_simtime_1min 14 Modular 1.268s 3600042 47.3187 35 0
eventManager_simtime_1min 15 Modular 1.271s 3600042 47.207 40 0
eventManager_simtime_1min 16 Modular 1.272s 3600042 47.1699 45 0
eventManager_simtime_1min 17 Modular 1.275s 3600042 47.0589 50 0
eventManager_simtime_1min 18 Modular 1.263s 3600042 47.506 60 0
eventManager_simtime_1min 19 Modular 1.282s 3600042 46.802 70 0
eventManager_simtime_1min 20 Modular 1.263s 3600042 47.506 80 0
eventManager_simtime_1min 21 Modular 1.284s 3600042 46.729 90 0
eventManager_simtime_1min 22 Modular 1.264s 3600042 47.4684 100 0
eventManager_simtime_1min 23 Modular 1.268s 3600042 47.3187 200 0
eventManager_simtime_1min 24 Modular 1.287s 3600042 46.6201 300 0
eventManager_simtime_1min 25 Modular 1.272s 3600042 47.1699 400 0
eventManager_simtime_1min 26 Modular 1.267s 3600042 47.356 500 0
eventManager_simtime_1min 0 Monolithic 0.387s 1800022 155.039 1 0
eventManager_simtime_1min 1 Monolithic 0.387s 1800022 155.039 2 0
eventManager_simtime_1min 2 Monolithic 0.390s 1800022 153.846 3 0
eventManager_simtime_1min 3 Monolithic 0.388s 1800022 154.639 4 0
eventManager_simtime_1min 4 Monolithic 0.406s 1800022 147.783 5 0
eventManager_simtime_1min 5 Monolithic 0.387s 1800022 155.039 6 0
eventManager_simtime_1min 6 Monolithic 0.394s 1800022 152.285 7 0
eventManager_simtime_1min 7 Monolithic 0.392s 1800022 153.061 8 0
eventManager_simtime_1min 8 Monolithic 0.387s 1800022 155.039 9 0
eventManager_simtime_1min 9 Monolithic 0.403s 1800022 148.884 10 0
eventManager_simtime_1min 10 Monolithic 0.379s 1800022 158.312 15 0
eventManager_simtime_1min 11 Monolithic 0.376s 1800022 159.575 20 0
eventManager_simtime_1min 12 Monolithic 0.377s 1800022 159.151 25 0
eventManager_simtime_1min 13 Monolithic 0.377s 1800022 159.151 30 0
eventManager_simtime_1min 14 Monolithic 0.380s 1800022 157.895 35 0
eventManager_simtime_1min 15 Monolithic 0.392s 1800022 153.061 40 0
eventManager_simtime_1min 16 Monolithic 0.383s 1800022 156.658 45 0
eventManager_simtime_1min 17 Monolithic 0.379s 1800022 158.312 50 0
eventManager_simtime_1min 18 Monolithic 0.402s 1800022 149.254 60 0
eventManager_simtime_1min 19 Monolithic 0.381s 1800022 157.481 70 0
eventManager_simtime_1min 20 Monolithic 0.377s 1800022 159.151 80 0
eventManager_simtime_1min 21 Monolithic 0.377s 1800022 159.151 90 0
eventManager_simtime_1min 22 Monolithic 0.378s 1800022 158.73 100 0
eventManager_simtime_1min 23 Monolithic 0.379s 1800022 158.312 200 0
eventManager_simtime_1min 24 Monolithic 0.381s 1800022 157.481 300 0
eventManager_simtime_1min 25 Monolithic 0.378s 1800022 158.73 400 0
eventManager_simtime_1min 26 Monolithic 0.378s 1800022 158.73 500 0
