Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
generation_simtime_1min 0 Modular 44.183s 181800021 1.35849521739 1000 0
generation_simtime_1min 1 Modular 41.342s 165436386 1.45192809524 1100 0
generation_simtime_1min 2 Modular 37.043s 151800021 1.62011736842 1200 0
generation_simtime_1min 3 Modular 34.613s 140261562 1.73365388889 1300 0
generation_simtime_1min 4 Modular 31.520s 130371450 1.90354 1400 0
generation_simtime_1min 5 Modular 29.757s 121800021 2.016542 1500 0
generation_simtime_1min 6 Modular 29.562s 121800021 2.029744 1500 0
generation_simtime_1min 7 Modular 22.144s 91800021 2.71042916667 2000 0
generation_simtime_1min 8 Modular 18.696s 73800021 3.20999 2500 0
generation_simtime_1min 9 Modular 15.166s 61800021 3.95849375 3000 0
generation_simtime_1min 10 Modular 13.205s 53228595 4.54493571429 3500 0
generation_simtime_1min 11 Modular 11.595s 46800021 5.17203166667 4000 0
generation_simtime_1min 12 Modular 10.497s 41800023 5.715315 4500 0
generation_simtime_1min 13 Modular 9.282s 37800021 6.465366 5000 0
generation_simtime_1min 0 Monolithic 28.514s 120600008 2.091936 1000 0
generation_simtime_1min 1 Monolithic 28.936s 109690918 2.07475733333 1100 0
generation_simtime_1min 2 Monolithic 23.417s 100600008 2.56186583333 1200 0
generation_simtime_1min 3 Monolithic 21.774s 92907702 2.75480090909 1300 0
generation_simtime_1min 4 Monolithic 20.058s 86314294 2.99464454545 1400 0
generation_simtime_1min 5 Monolithic 18.631s 80600008 3.219346 1500 0
generation_simtime_1min 6 Monolithic 18.951s 80600008 3.168375 1500 0
generation_simtime_1min 7 Monolithic 14.040s 60600008 4.27067875 2000 0
generation_simtime_1min 8 Monolithic 11.226s 48600008 5.34958833333 2500 0
generation_simtime_1min 9 Monolithic 9.370s 40600008 6.404906 3000 0
generation_simtime_1min 10 Monolithic 8.021s 34885724 7.553322 3500 0
generation_simtime_1min 11 Monolithic 7.089s 30600008 8.469175 4000 0
generation_simtime_1min 12 Monolithic 6.689s 27266676 8.9129225 4500 0
generation_simtime_1min 13 Monolithic 5.703s 24600008 10.5212333333 5000 0
