Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_simtime_1min 0 Modular 76.136s 181800021 0.788301564103 1000 0
polling_simtime_1min 1 Modular 68.629s 165436386 0.874223542857 1100 0
polling_simtime_1min 2 Modular 63.046s 151800021 0.95069853125 1200 0
polling_simtime_1min 3 Modular 58.142s 140261562 1.032094 1300 0
polling_simtime_1min 4 Modular 54.143s 130371450 1.108605 1400 0
polling_simtime_1min 5 Modular 50.646s 121800021 1.18440923077 1500 0
polling_simtime_1min 6 Modular 51.063s 121800021 1.17541653846 1500 0
polling_simtime_1min 7 Modular 38.102s 91800021 1.5750175 2000 0
polling_simtime_1min 8 Modular 30.483s 73800021 1.968638125 2500 0
polling_simtime_1min 9 Modular 25.860s 61800021 2.32043 3000 0
polling_simtime_1min 10 Modular 24.883s 53228595 2.41280076923 3500 0
polling_simtime_1min 11 Modular 21.002s 46800021 2.85432636364 4000 0
polling_simtime_1min 12 Modular 17.294s 41800023 3.46986777778 4500 0
polling_simtime_1min 13 Modular 15.503s 37800021 3.87027625 5000 0
polling_simtime_1min 0 Monolithic 9.458s 61200015 6.34832 1000 0
polling_simtime_1min 1 Monolithic 8.710s 55745470 6.896304 1100 0
polling_simtime_1min 2 Monolithic 8.424s 51200015 7.126476 1200 0
polling_simtime_1min 3 Monolithic 7.831s 47353862 7.66375 1300 0
polling_simtime_1min 4 Monolithic 6.882s 44057158 8.7172425 1400 0
polling_simtime_1min 5 Monolithic 5.927s 41200015 10.1232 1500 0
polling_simtime_1min 6 Monolithic 5.940s 41200015 10.1015666667 1500 0
polling_simtime_1min 7 Monolithic 4.756s 31200015 12.6339 2000 0
polling_simtime_1min 8 Monolithic 4.768s 25200015 12.4633 2500 0
polling_simtime_1min 9 Monolithic 3.390s 21200015 17.7309 3000 0
polling_simtime_1min 10 Monolithic 2.981s 18342873 19.97725 3500 0
polling_simtime_1min 11 Monolithic 2.508s 16200015 23.93915 4000 0
polling_simtime_1min 12 Monolithic 2.210s 14533349 27.3641 4500 0
polling_simtime_1min 13 Monolithic 2.035s 13200015 29.5612 5000 0
