Time PerformanceValue
1.0 3.946
1.0 2.93
2.0 3.946
2.0 2.928
3.0 3.863
3.0 2.848
4.0 4.976
4.0 3.96
5.0 5.308
5.0 4.293
6.0 3.779
6.0 2.764
7.0 4.054
7.0 3.039
8.0 4.22
8.0 3.204
9.0 6.084
9.0 5.072
10.0 6.062
10.0 5.02
15.0 4.894
15.0 3.874
20.0 4.067
20.0 3.052
25.0 3.858
25.0 2.843
30.0 3.929
30.0 2.914
35.0 3.873
35.0 2.853
40.0 3.861
40.0 2.846
45.0 3.86
45.0 2.845
50.0 3.913
50.0 2.898
60.0 3.754
60.0 2.738
70.0 3.963
70.0 2.947
80.0 3.766
80.0 2.751
90.0 3.756
90.0 2.74
100.0 3.757
100.0 2.742
200.0 3.802
200.0 2.787
300.0 3.949
300.0 2.934
400.0 3.792
400.0 2.777
500.0 3.756
500.0 2.741
