Time PerformanceValue
1.0 3.444
1.0 2.427
2.0 3.461
2.0 2.444
3.0 3.421
3.0 2.404
4.0 3.475
4.0 2.458
5.0 3.489
5.0 2.472
6.0 3.444
6.0 2.427
7.0 3.473
7.0 2.456
8.0 3.533
8.0 2.517
9.0 3.473
9.0 2.456
10.0 3.415
10.0 2.398
15.0 3.479
15.0 2.463
20.0 3.515
20.0 2.499
25.0 3.531
25.0 2.513
30.0 3.424
30.0 2.407
35.0 3.522
35.0 2.503
40.0 3.427
40.0 2.41
45.0 3.543
45.0 2.526
50.0 3.48
50.0 2.463
60.0 3.415
60.0 2.399
70.0 3.432
70.0 2.415
80.0 3.534
80.0 2.516
90.0 3.446
90.0 2.429
100.0 3.452
100.0 2.435
200.0 3.644
200.0 2.627
300.0 3.501
300.0 2.484
400.0 3.421
400.0 2.403
500.0 3.449
500.0 2.432
