Time PerformanceValue
100.0 2690.613
100.0 2497.85
200.0 1270.109
200.0 1260.687
300.0 1020.235
300.0 1013.779
400.0 625.006
400.0 619.815
500.0 502.831
500.0 498.516
600.0 426.764
600.0 422.952
700.0 359.406
700.0 356.031
800.0 318.756
800.0 315.663
900.0 283.229
900.0 280.365
1000.0 251.001
1000.0 248.329
1100.0 229.281
1100.0 226.782
1200.0 211.621
1200.0 209.217
1300.0 194.951
1300.0 192.665
1400.0 182.196
1400.0 180.0
1500.0 168.085
1500.0 165.969
1500.0 169.338
1500.0 167.221
2000.0 129.591
2000.0 127.743
2500.0 103.919
2500.0 102.254
3000.0 90.625
3000.0 89.082
3500.0 72.399
3500.0 70.921
4000.0 63.721
4000.0 62.298
4500.0 57.107
4500.0 55.733
5000.0 50.935
5000.0 49.586
5500.0 47.16
5500.0 45.859
6000.0 44.083
6000.0 42.808
6500.0 40.198
6500.0 38.945
7000.0 36.939
7000.0 35.698
7500.0 34.467
7500.0 33.243
8000.0 32.476
8000.0 31.259
8500.0 30.135
8500.0 28.942
9000.0 29.073
9000.0 27.89
9500.0 27.355
9500.0 26.181
10000.0 26.014
10000.0 24.849
15000.0 17.879
15000.0 16.771
20000.0 14.011
20000.0 12.933
25000.0 11.2
25000.0 10.138
30000.0 9.576
30000.0 8.527
