Time PerformanceValue
100.0 2645.721
100.0 2441.977
200.0 1217.872
200.0 1208.604
300.0 809.795
300.0 803.263
400.0 620.004
400.0 614.858
500.0 490.666
500.0 486.365
600.0 406.226
600.0 402.467
700.0 347.899
700.0 344.577
800.0 315.453
800.0 312.402
900.0 272.803
900.0 269.985
1000.0 245.725
1000.0 243.063
1100.0 222.354
1100.0 219.847
1200.0 202.304
1200.0 199.924
1300.0 190.617
1300.0 188.34
1400.0 175.057
1400.0 172.876
1500.0 162.541
1500.0 160.431
1500.0 165.525
1500.0 163.41
2000.0 122.678
2000.0 120.843
2500.0 98.687
2500.0 97.019
3000.0 81.532
3000.0 79.982
3500.0 70.758
3500.0 69.288
4000.0 62.359
4000.0 60.942
4500.0 54.618
4500.0 53.254
5000.0 49.175
5000.0 47.843
5500.0 44.663
5500.0 43.36
6000.0 42.163
6000.0 40.889
6500.0 38.449
6500.0 37.191
7000.0 35.578
7000.0 34.339
7500.0 33.159
7500.0 31.94
8000.0 32.26
8000.0 31.053
8500.0 29.154
8500.0 27.947
9000.0 28.498
9000.0 27.312
9500.0 27.194
9500.0 26.022
10000.0 24.923
10000.0 23.758
15000.0 17.767
15000.0 16.656
20000.0 13.202
20000.0 12.121
25000.0 10.728
25000.0 9.663
30000.0 9.301
30000.0 8.247
