Time PerformanceValue
100.0 5188.463
200.0 2530.796
300.0 2034.0140000000001
400.0 1244.821
500.0 1001.347
600.0 849.716
700.0 715.437
800.0 634.419
900.0 563.594
1000.0 499.33000000000004
1100.0 456.063
1200.0 420.838
1300.0 387.616
1400.0 362.196
1500.0 334.054
1500.0 336.55899999999997
2000.0 257.334
2500.0 206.173
3000.0 179.707
3500.0 143.32
4000.0 126.019
4500.0 112.84
5000.0 100.521
5500.0 93.019
6000.0 86.89099999999999
6500.0 79.143
7000.0 72.637
7500.0 67.71000000000001
8000.0 63.735
8500.0 59.077
9000.0 56.963
9500.0 53.536
10000.0 50.863
15000.0 34.650000000000006
20000.0 26.944
25000.0 21.338
30000.0 18.103
