Time PerformanceValue
100.0 5087.698
200.0 2426.476
300.0 1613.058
400.0 1234.862
500.0 977.031
600.0 808.693
700.0 692.476
800.0 627.855
900.0 542.788
1000.0 488.788
1100.0 442.201
1200.0 402.228
1300.0 378.957
1400.0 347.933
1500.0 322.972
1500.0 328.935
2000.0 243.52100000000002
2500.0 195.70600000000002
3000.0 161.514
3500.0 140.046
4000.0 123.301
4500.0 107.872
5000.0 97.018
5500.0 88.023
6000.0 83.05199999999999
6500.0 75.64
7000.0 69.917
7500.0 65.099
8000.0 63.313
8500.0 57.101
9000.0 55.81
9500.0 53.215999999999994
10000.0 48.681
15000.0 34.423
20000.0 25.323
25000.0 20.391
30000.0 17.548000000000002
