Time PerformanceValue
100.0 915.815
100.0 914.801
200.0 610.078
200.0 609.063
300.0 327.562
300.0 326.547
400.0 238.674
400.0 237.658
500.0 191.535
500.0 190.519
600.0 159.841
600.0 158.824
700.0 137.653
700.0 136.637
800.0 128.46
800.0 127.444
900.0 105.284
900.0 104.269
1000.0 97.115
1000.0 96.099
1100.0 88.447
1100.0 87.431
1200.0 82.104
1200.0 81.089
1300.0 75.629
1300.0 74.613
1400.0 67.139
1400.0 66.124
1500.0 62.486
1500.0 61.47
1500.0 63.03
1500.0 62.015
2000.0 47.383
2000.0 46.367
2500.0 38.993
2500.0 37.978
3000.0 33.651
3000.0 32.637
3500.0 28.47
3500.0 27.455
4000.0 25.21
4000.0 24.195
4500.0 23.14
4500.0 22.122
5000.0 22.315
5000.0 21.3
5500.0 20.821
5500.0 19.806
6000.0 17.944
6000.0 16.929
6500.0 17.117
6500.0 16.102
7000.0 15.922
7000.0 14.907
7500.0 15.097
7500.0 14.082
8000.0 14.34
8000.0 13.325
8500.0 13.706
8500.0 12.69
9000.0 13.094
9000.0 12.079
9500.0 12.558
9500.0 11.543
10000.0 12.037
10000.0 11.021
15000.0 9.137
15000.0 8.122
20000.0 7.82
20000.0 6.805
25000.0 6.809
25000.0 5.794
30000.0 5.963
30000.0 4.948
