Time PerformanceValue
100.0 130.281
100.0 129.264
200.0 68.513
200.0 67.495
300.0 44.799
300.0 43.782
400.0 35.598
400.0 34.581
500.0 35.084
500.0 34.067
600.0 26.388
600.0 25.371
700.0 21.846
700.0 20.83
800.0 18.917
800.0 17.899
900.0 16.804
900.0 15.787
1000.0 16.093
1000.0 15.076
1100.0 14.488
1100.0 13.467
1200.0 13.824
1200.0 12.806
1300.0 13.894
1300.0 12.877
1400.0 11.111
1400.0 10.094
1500.0 11.201
1500.0 10.181
1500.0 11.195
1500.0 10.178
2000.0 9.758
2000.0 8.742
2500.0 8.095
2500.0 7.078
3000.0 7.51
3000.0 6.493
3500.0 6.361
3500.0 5.344
4000.0 5.959
4000.0 4.939
4500.0 5.456
4500.0 4.44
5000.0 4.863
5000.0 3.846
5500.0 5.145
5500.0 4.132
6000.0 4.766
6000.0 3.747
6500.0 4.811
6500.0 3.794
7000.0 4.488
7000.0 3.472
7500.0 4.501
7500.0 3.484
8000.0 4.479
8000.0 3.462
8500.0 4.268
8500.0 3.251
9000.0 4.334
9000.0 3.318
9500.0 4.1
9500.0 3.083
10000.0 4.224
10000.0 3.206
15000.0 3.697
15000.0 2.679
20000.0 3.848
20000.0 2.83
25000.0 3.896
25000.0 2.879
30000.0 3.557
30000.0 2.539
