Time PerformanceValue
100.0 1830.616
200.0 1219.141
300.0 654.109
400.0 476.332
500.0 382.054
600.0 318.665
700.0 274.28999999999996
800.0 255.904
900.0 209.553
1000.0 193.214
1100.0 175.878
1200.0 163.19299999999998
1300.0 150.24200000000002
1400.0 133.26299999999998
1500.0 123.95599999999999
1500.0 125.045
2000.0 93.75
2500.0 76.971
3000.0 66.28800000000001
3500.0 55.925
4000.0 49.405
4500.0 45.262
5000.0 43.615
5500.0 40.627
6000.0 34.873
6500.0 33.219
7000.0 30.829
7500.0 29.179000000000002
8000.0 27.665
8500.0 26.396
9000.0 25.173000000000002
9500.0 24.101
10000.0 23.058
15000.0 17.259
20000.0 14.625
25000.0 12.603
30000.0 10.911000000000001
