Time PerformanceValue
100.0 259.545
200.0 136.008
300.0 88.58099999999999
400.0 70.179
500.0 69.15100000000001
600.0 51.759
700.0 42.676
800.0 36.816
900.0 32.591
1000.0 31.169
1100.0 27.955
1200.0 26.63
1300.0 26.771
1400.0 21.205
1500.0 21.381999999999998
1500.0 21.373
2000.0 18.5
2500.0 15.173000000000002
3000.0 14.003
3500.0 11.705
4000.0 10.898
4500.0 9.896
5000.0 8.709
5500.0 9.277
6000.0 8.513
6500.0 8.605
7000.0 7.960000000000001
7500.0 7.985
8000.0 7.941000000000001
8500.0 7.519
9000.0 7.651999999999999
9500.0 7.183
10000.0 7.43
15000.0 6.3759999999999994
20000.0 6.678
25000.0 6.775
30000.0 6.096
