Time PerformanceValue
1.0 442494022.656
2.0 422083130.112
3.0 442865920.0
4.0 442451111.424
5.0 444612077.056
6.0 441980738.304
7.0 442631558.656
8.0 444370013.696
9.0 445091802.624
10.0 445103905.792
15.0 446183288.32
20.0 447316584.96
25.0 446025396.992
30.0 445969832.448
35.0 446172835.584
40.0 445772330.75200003
45.0 446678968.064
50.0 446962842.36800003
60.0 428808640.512
70.0 430321536.512
80.0 425108371.968
90.0 435150150.4
100.0 442482469.632
200.0 445174324.224
300.0 429952389.888
400.0 443141542.144
500.0 443176751.36
