Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_cputime_1min 0 Modular 59.327s 166759936 46.8484633333 1 0
eventManager_cputime_1min 1 Modular 59.779s 167489792 46.6961733333 2 0
eventManager_cputime_1min 2 Modular 59.794s 168467200 46.9582133333 3 0
eventManager_cputime_1min 3 Modular 59.810s 169590528 47.25909 4 0
eventManager_cputime_1min 4 Modular 59.780s 169524480 47.2638233333 5 0
eventManager_cputime_1min 5 Modular 59.796s 168918784 47.0808133333 6 0
eventManager_cputime_1min 6 Modular 59.779s 169620224 47.2904133333 7 0
eventManager_cputime_1min 7 Modular 59.778s 168107264 46.8736666667 8 0
eventManager_cputime_1min 8 Modular 59.810s 169586944 47.2567833333 9 0
eventManager_cputime_1min 9 Modular 59.794s 168615936 46.99906 10 0
eventManager_cputime_1min 10 Modular 59.778s 168293888 46.9255466667 15 0
eventManager_cputime_1min 11 Modular 59.794s 169506560 47.2475066667 20 0
eventManager_cputime_1min 12 Modular 59.811s 169377024 47.1979933333 25 0
eventManager_cputime_1min 13 Modular 59.779s 169369600 47.2207666667 30 0
eventManager_cputime_1min 14 Modular 59.811s 169425664 47.2053933333 35 0
eventManager_cputime_1min 15 Modular 59.779s 168899072 47.09138 40 0
eventManager_cputime_1min 16 Modular 59.779s 169784576 47.3365566667 45 0
eventManager_cputime_1min 17 Modular 59.795s 167093760 46.5739866667 50 0
eventManager_cputime_1min 18 Modular 59.795s 169018880 47.11254 60 0
eventManager_cputime_1min 19 Modular 59.795s 169730048 47.30931 70 0
eventManager_cputime_1min 20 Modular 59.780s 169481984 47.2513066667 80 0
eventManager_cputime_1min 21 Modular 59.811s 169307136 47.1779333333 90 0
eventManager_cputime_1min 22 Modular 59.796s 168436480 46.94835 100 0
eventManager_cputime_1min 23 Modular 59.812s 169598976 47.25916 200 0
eventManager_cputime_1min 24 Modular 59.782s 167998720 46.8405566667 300 0
eventManager_cputime_1min 25 Modular 59.798s 169690112 47.2958833333 400 0
eventManager_cputime_1min 26 Modular 59.797s 169127424 47.14012 500 0
eventManager_cputime_1min 0 Monolithic 59.735s 205906944 114.902266667 1 0
eventManager_cputime_1min 1 Monolithic 59.235s 196409088 110.623133333 2 0
eventManager_cputime_1min 2 Monolithic 59.297s 206080000 115.8375 3 0
eventManager_cputime_1min 3 Monolithic 59.125s 205886976 116.070366667 4 0
eventManager_cputime_1min 4 Monolithic 59.219s 206892544 116.453233333 5 0
eventManager_cputime_1min 5 Monolithic 59.219s 205668096 115.768466667 6 0
eventManager_cputime_1min 6 Monolithic 59.204s 205970944 115.969166667 7 0
eventManager_cputime_1min 7 Monolithic 59.499s 206779904 115.842933333 8 0
eventManager_cputime_1min 8 Monolithic 59.483s 207115776 116.066166667 9 0
eventManager_cputime_1min 9 Monolithic 59.484s 207121408 116.0611 10 0
eventManager_cputime_1min 10 Monolithic 59.499s 207623680 116.312366667 15 0
eventManager_cputime_1min 11 Monolithic 59.499s 208151040 116.611566667 20 0
eventManager_cputime_1min 12 Monolithic 59.499s 207550208 116.273133333 25 0
eventManager_cputime_1min 13 Monolithic 59.515s 207524352 116.226966667 30 0
eventManager_cputime_1min 14 Monolithic 59.483s 207618816 116.3425 35 0
eventManager_cputime_1min 15 Monolithic 59.515s 207432448 116.180433333 40 0
eventManager_cputime_1min 16 Monolithic 59.515s 207854336 116.4021 45 0
eventManager_cputime_1min 17 Monolithic 59.499s 207986432 116.516466667 50 0
eventManager_cputime_1min 18 Monolithic 59.516s 199538688 111.791493333 60 0
eventManager_cputime_1min 19 Monolithic 59.416s 200242688 112.32475 70 0
eventManager_cputime_1min 20 Monolithic 59.503s 197816832 110.769075862 80 0
eventManager_cputime_1min 21 Monolithic 59.499s 202489600 113.457233333 90 0
eventManager_cputime_1min 22 Monolithic 59.484s 205901568 115.377333333 100 0
eventManager_cputime_1min 23 Monolithic 59.500s 207154176 116.046933333 200 0
eventManager_cputime_1min 24 Monolithic 59.499s 200070912 112.12942 300 0
eventManager_cputime_1min 25 Monolithic 59.483s 206208256 115.5493 400 0
eventManager_cputime_1min 26 Monolithic 59.412s 206224640 115.695866667 500 0
