Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
eventManager_simtime_1min 0 Modular 1.500s 3600042 40.0001 1 0
eventManager_simtime_1min 1 Modular 1.514s 3600042 39.6302 2 0
eventManager_simtime_1min 2 Modular 1.283s 3600042 46.7655 3 0
eventManager_simtime_1min 3 Modular 1.283s 3600042 46.7655 4 0
eventManager_simtime_1min 4 Modular 1.376s 3600042 43.6047 5 0
eventManager_simtime_1min 5 Modular 1.267s 3600042 47.356 6 0
eventManager_simtime_1min 6 Modular 1.313s 3600042 45.697 7 0
eventManager_simtime_1min 7 Modular 1.313s 3600042 45.697 8 0
eventManager_simtime_1min 8 Modular 1.344s 3600042 44.6429 9 0
eventManager_simtime_1min 9 Modular 1.391s 3600042 43.1345 10 0
eventManager_simtime_1min 10 Modular 1.500s 3600042 40.0001 15 0
eventManager_simtime_1min 11 Modular 1.407s 3600042 42.644 20 0
eventManager_simtime_1min 12 Modular 1.360s 3600042 44.1177 25 0
eventManager_simtime_1min 13 Modular 1.298s 3600042 46.225 30 0
eventManager_simtime_1min 14 Modular 1.391s 3600042 43.1345 35 0
eventManager_simtime_1min 15 Modular 1.283s 3600042 46.7655 40 0
eventManager_simtime_1min 16 Modular 1.267s 3600042 47.356 45 0
eventManager_simtime_1min 17 Modular 1.375s 3600042 43.6364 50 0
eventManager_simtime_1min 18 Modular 1.375s 3600042 43.6364 60 0
eventManager_simtime_1min 19 Modular 1.390s 3600042 43.1655 70 0
eventManager_simtime_1min 20 Modular 1.268s 3600042 47.3187 80 0
eventManager_simtime_1min 21 Modular 1.251s 3600042 47.9617 90 0
eventManager_simtime_1min 22 Modular 1.252s 3600042 47.9234 100 0
eventManager_simtime_1min 23 Modular 1.283s 3600042 46.7655 200 0
eventManager_simtime_1min 24 Modular 1.267s 3600042 47.356 300 0
eventManager_simtime_1min 25 Modular 1.252s 3600042 47.9234 400 0
eventManager_simtime_1min 26 Modular 1.283s 3600042 46.7655 500 0
eventManager_simtime_1min 0 Monolithic 0.525s 1800022 114.286 1 0
eventManager_simtime_1min 1 Monolithic 0.510s 1800022 117.647 2 0
eventManager_simtime_1min 2 Monolithic 0.510s 1800022 117.647 3 0
eventManager_simtime_1min 3 Monolithic 0.513s 1800022 116.959 4 0
eventManager_simtime_1min 4 Monolithic 0.513s 1800022 116.959 5 0
eventManager_simtime_1min 5 Monolithic 0.513s 1800022 116.959 6 0
eventManager_simtime_1min 6 Monolithic 0.513s 1800022 116.959 7 0
eventManager_simtime_1min 7 Monolithic 0.528s 1800022 113.637 8 0
eventManager_simtime_1min 8 Monolithic 0.513s 1800022 116.959 9 0
eventManager_simtime_1min 9 Monolithic 0.498s 1800022 120.482 10 0
eventManager_simtime_1min 10 Monolithic 0.513s 1800022 116.959 15 0
eventManager_simtime_1min 11 Monolithic 0.514s 1800022 116.732 20 0
eventManager_simtime_1min 12 Monolithic 0.513s 1800022 116.959 25 0
eventManager_simtime_1min 13 Monolithic 0.513s 1800022 116.959 30 0
eventManager_simtime_1min 14 Monolithic 0.513s 1800022 116.959 35 0
eventManager_simtime_1min 15 Monolithic 0.529s 1800022 113.422 40 0
eventManager_simtime_1min 16 Monolithic 0.544s 1800022 110.294 45 0
eventManager_simtime_1min 17 Monolithic 0.544s 1800022 110.294 50 0
eventManager_simtime_1min 18 Monolithic 0.575s 1800022 104.348 60 0
eventManager_simtime_1min 19 Monolithic 0.544s 1800022 110.294 70 0
eventManager_simtime_1min 20 Monolithic 0.513s 1800022 116.959 80 0
eventManager_simtime_1min 21 Monolithic 0.513s 1800022 116.959 90 0
eventManager_simtime_1min 22 Monolithic 0.513s 1800022 116.959 100 0
eventManager_simtime_1min 23 Monolithic 0.513s 1800022 116.959 200 0
eventManager_simtime_1min 24 Monolithic 0.513s 1800022 116.959 300 0
eventManager_simtime_1min 25 Monolithic 0.513s 1800022 116.959 400 0
eventManager_simtime_1min 26 Monolithic 0.513s 1800022 116.959 500 0
