Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
generation_simtime_1min 0 Modular 60.747s 181800021 0.988301225806 1000 0
generation_simtime_1min 1 Modular 55.263s 165436386 1.08591035714 1100 0
generation_simtime_1min 2 Modular 50.792s 151800021 1.18150807692 1200 0
generation_simtime_1min 3 Modular 47.401s 140261562 1.26602583333 1300 0
generation_simtime_1min 4 Modular 43.486s 130371450 1.37985545455 1400 0
generation_simtime_1min 5 Modular 40.818s 121800021 1.47093857143 1500 0
generation_simtime_1min 6 Modular 41.068s 121800021 1.46112619048 1500 0
generation_simtime_1min 7 Modular 30.852s 91800021 1.94613625 2000 0
generation_simtime_1min 8 Modular 25.330s 73800021 2.37043615385 2500 0
generation_simtime_1min 9 Modular 21.057s 61800021 2.84815181818 3000 0
generation_simtime_1min 10 Modular 18.233s 53228595 3.307783 3500 0
generation_simtime_1min 11 Modular 16.019s 46800021 3.7456075 4000 0
generation_simtime_1min 12 Modular 14.367s 41800023 4.18322875 4500 0
generation_simtime_1min 13 Modular 13.400s 37800021 4.48168857143 5000 0
generation_simtime_1min 0 Monolithic 38.624s 120600008 1.554953 1000 0
generation_simtime_1min 1 Monolithic 35.020s 109690918 1.71366833333 1100 0
generation_simtime_1min 2 Monolithic 32.119s 100600008 1.86810125 1200 0
generation_simtime_1min 3 Monolithic 29.498s 92907702 2.03437733333 1300 0
generation_simtime_1min 4 Monolithic 27.486s 86314294 2.183375 1400 0
generation_simtime_1min 5 Monolithic 25.661s 80600008 2.33822692308 1500 0
generation_simtime_1min 6 Monolithic 25.661s 80600008 2.33833769231 1500 0
generation_simtime_1min 7 Monolithic 19.297s 60600008 3.10981 2000 0
generation_simtime_1min 8 Monolithic 15.521s 48600008 3.867435 2500 0
generation_simtime_1min 9 Monolithic 12.947s 40600008 4.63809714286 3000 0
generation_simtime_1min 10 Monolithic 11.107s 34885724 5.40366333333 3500 0
generation_simtime_1min 11 Monolithic 9.750s 30600008 6.156278 4000 0
generation_simtime_1min 12 Monolithic 8.752s 27266676 6.873172 4500 0
generation_simtime_1min 13 Monolithic 7.799s 24600008 7.6953825 5000 0
