Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_simtime_1min 0 Modular 56.664s 181800021 1.05939482759 1000 0
polling_simtime_1min 1 Modular 51.340s 165436386 1.168915 1100 0
polling_simtime_1min 2 Modular 46.769s 151800021 1.283675 1200 0
polling_simtime_1min 3 Modular 43.659s 140261562 1.37443363636 1300 0
polling_simtime_1min 4 Modular 40.410s 130371450 1.4855747619 1400 0
polling_simtime_1min 5 Modular 37.840s 121800021 1.58573578947 1500 0
polling_simtime_1min 6 Modular 37.950s 121800021 1.58104421053 1500 0
polling_simtime_1min 7 Modular 28.747s 91800021 2.08817533333 2000 0
polling_simtime_1min 8 Modular 23.029s 73800021 2.60669166667 2500 0
polling_simtime_1min 9 Modular 19.337s 61800021 3.103455 3000 0
polling_simtime_1min 10 Modular 16.703s 53228595 3.59603666667 3500 0
polling_simtime_1min 11 Modular 14.833s 46800021 4.05306875 4000 0
polling_simtime_1min 12 Modular 13.182s 41800023 4.55425428571 4500 0
polling_simtime_1min 13 Modular 11.904s 37800021 5.04081166667 5000 0
polling_simtime_1min 0 Monolithic 13.337s 61200015 4.50046714286 1000 0
polling_simtime_1min 1 Monolithic 12.185s 55745470 4.99079571429 1100 0
polling_simtime_1min 2 Monolithic 11.344s 51200015 5.29681 1200 0
polling_simtime_1min 3 Monolithic 10.377s 47353862 5.81206333333 1300 0
polling_simtime_1min 4 Monolithic 9.739s 44057158 6.162468 1400 0
polling_simtime_1min 5 Monolithic 9.037s 41200015 6.648428 1500 0
polling_simtime_1min 6 Monolithic 9.022s 41200015 6.664518 1500 0
polling_simtime_1min 7 Monolithic 6.902s 31200015 8.70203 2000 0
polling_simtime_1min 8 Monolithic 5.578s 25200015 10.7609333333 2500 0
polling_simtime_1min 9 Monolithic 4.721s 21200015 12.7320666667 3000 0
polling_simtime_1min 10 Monolithic 4.083s 18342873 15.1339666667 3500 0
polling_simtime_1min 11 Monolithic 3.630s 16200015 16.5343 4000 0
polling_simtime_1min 12 Monolithic 3.257s 14533349 18.4632 4500 0
polling_simtime_1min 13 Monolithic 2.976s 13200015 20.23375 5000 0
