Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
polling_cputime_1min 0 Modular 59.140s 185914624 1.03756066667 1000 0
polling_cputime_1min 1 Modular 59.812s 188554752 1.143292 1100 0
polling_cputime_1min 2 Modular 59.796s 187930368 1.242222 1200 0
polling_cputime_1min 3 Modular 59.797s 187272704 1.33975566667 1300 0
polling_cputime_1min 4 Modular 59.799s 187664128 1.44426133333 1400 0
polling_cputime_1min 5 Modular 59.799s 187688960 1.54617633333 1500 0
polling_cputime_1min 6 Modular 59.800s 187151616 1.54167366667 1500 0
polling_cputime_1min 7 Modular 59.814s 187354880 2.047234 2000 0
polling_cputime_1min 8 Modular 59.784s 187150848 2.54512466667 2500 0
polling_cputime_1min 9 Modular 59.798s 185152256 3.00572566667 3000 0
polling_cputime_1min 10 Modular 59.747s 184793856 3.48670966667 3500 0
polling_cputime_1min 11 Modular 59.810s 183339008 3.930611 4000 0
polling_cputime_1min 12 Modular 59.796s 185449984 4.449681 4500 0
polling_cputime_1min 13 Modular 59.801s 186014976 4.937431 5000 0
polling_cputime_1min 0 Monolithic 59.718s 274595840 4.508134 1000 0
polling_cputime_1min 1 Monolithic 59.797s 273629184 4.92522533333 1100 0
polling_cputime_1min 2 Monolithic 59.796s 273859584 5.36729066667 1200 0
polling_cputime_1min 3 Monolithic 59.796s 272001024 5.76341333333 1300 0
polling_cputime_1min 4 Monolithic 59.780s 274106368 6.24465033333 1400 0
polling_cputime_1min 5 Monolithic 59.781s 273651456 6.66651233333 1500 0
polling_cputime_1min 6 Monolithic 59.797s 273785600 6.667937 1500 0
polling_cputime_1min 7 Monolithic 59.767s 270431744 8.70199033333 2000 0
polling_cputime_1min 8 Monolithic 59.768s 271299072 10.8076433333 2500 0
polling_cputime_1min 9 Monolithic 59.765s 270042112 12.7880333333 3000 0
polling_cputime_1min 10 Monolithic 59.768s 261403648 14.2991133333 3500 0
polling_cputime_1min 11 Monolithic 59.751s 253610752 15.7276133333 4000 0
polling_cputime_1min 12 Monolithic 59.765s 262921472 18.16245 4500 0
polling_cputime_1min 13 Monolithic 59.751s 256354560 19.5052133333 5000 0
